smile,score_1syh,score_6y2f,score_4lde
COc1ccc(-c2nonc2NC(=O)c2ccc(Cl)cc2)cc1,0.9,-6.9,-9.7
COc1ccccc1NC(=O)CSc1nc(-c2ccccc2C)ns1,-1.6,-6.5,-9.7
CCCC[N@@H+](CC)Cc1c(C)[nH]c2c(C)cc(Cl)cc2c1=O,10000,10000,10000
COc1cc(SC)ccc1C(=O)N1CCCC[C@H]1C,-0.1,-5.4,-6.9
CCCN(CC)C(=O)c1cccc(I)c1,10000,10000,10000
COc1ccc(O)cc1C(=O)C=Cc1cccc(OC)c1F,-1.5,-6.2,-9.7
Cc1cc(F)c(C(=O)N(Cc2ccccc2)c2ccccn2)cc1F,1.0,-6.4,-8.6
CCc1c(C)[nH]c2cccc(C)c2c1=O,-7.0,-5.2,-7.7
COc1cc(F)cc(CNCC(O)c2cc(OC)ccc2OC)c1,-5.2,-6.1,-9.1
CCc1cc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)ccc1C,0.0,-7.1,-10.7
COc1cc(CNCCc2cccc(Cl)c2F)cc(OC)c1O,-5.1,-6.0,-9.2
O=C(Nc1cccc(F)c1O)c1ccc(-c2ccccc2F)o1,10.1,-7.2,-11.2
O=C([O-])c1c[nH]c2ccc(Cl)cc2c1=O,10000,10000,10000
CC(C)c1ccc(C(=O)NC[C@H](O)c2ccccc2)cc1,-2.0,-6.1,-9.8
COCCN(CCOC)C(=O)c1cccc(C)c1,-6.0,-5.0,-7.1
COCCCCS(=O)(=O)Nc1ccc(Sc2ccc(OC)cc2)cc1,0.5,-5.2,-8.4
COc1ccc(CCNC(=O)c2cc(C(C)=O)cs2)cc1OC,-4.8,-5.8,-8.9
CN(C)c1cc(F)cc(C(=O)Nc2nc3ccccc3s2)c1,10.2,-6.9,-10.0
C[N@H+](CCCCO)Cc1ccc(-c2ccc(Cl)c(Cl)c2)o1,10000,10000,10000
Cc1c(C(=O)N(C)C(C)C)c(=O)[nH]c2ccccc12,-3.1,-5.8,-8.7
COc1ccc(-c2nc(NC(=O)c3cccc(C)c3)sc2C)cc1,21.4,-6.2,-9.8
COc1cc(C=CC(=O)c2ccc(OC)c(OC)c2C)cc(OC)c1OC,6.9,-6.1,-9.1
COc1cc(F)c(Nc2ncc3ccccc3n2)cc1Cl,-0.1,-6.4,-9.4
CCOc1ccc(Nc2cc(C(F)(F)F)nc3ncnn23)cc1,-2.1,-6.3,-9.3
O=C(Nc1cccc(F)c1)c1cc(Cl)ccc1O,-5.5,-6.3,-9.6
CC(=CC=C(Cl)Cl)Nc1nc(NCCO)c2ccccc2n1,-2.7,-6.1,-9.2
CC(C)Cc1ccc(C(=O)C=Cc2ccc(O)cc2)cc1,3.6,-6.0,-9.6
