drug_id,matched_sig_id,matched_cell_id,matched_pert_id,matched_pert_iname,match_score,second_score,margin,above_threshold
01ee58f64,DOS043_A549_24H:BRD-A19500257:10,A549,BRD-A19500257,geldanamycin,0.15146353176463853,0.13606807118670414,0.015395460577934394,False
02084574f,RAD001_A549_6H:BRD-K15108141-003-01-3:0.0137,A549,BRD-K15108141,gemcitabine,0.16802602275848638,0.14705760922881414,0.020968413529672242,False
0212c63a7,DOS027_VCAP_24H:BRD-K62430643-001-01-0:5.05,VCAP,BRD-K62430643,BRD-K62430643,0.1854928439651503,0.18479521577288857,0.00069762819226174,False
0222d944c,NMH002_NEU_6H:BRD-K84943004-001-01-9:10,NEU,BRD-K84943004,MC-1293,0.15841916745973847,0.15619216663053462,0.0022270008292038512,False
022f3ae8e,CPC011_MCF7_6H:BRD-A35519318-003-08-1:10,MCF7,BRD-A35519318,benidipine,0.15481851007861452,0.15380104631775346,0.0010174637608610648,False
0233971e0,CPC006_SNGM_6H:BRD-A34817987-001-11-8:10,SNGM,BRD-A34817987,itraconazole,0.16491944739278433,0.16122252303039267,0.0036969243623916626,False
0249e20c4,DOSBIO001_A375_24H:BRD-K68253248:10.1649,A375,BRD-K68253248,BRD-K68253248,0.18718730810535109,0.16720868974653527,0.019978618358815814,False
025d91250,CPC014_A375_6H:BRD-K66615216-001-01-9:10,A375,BRD-K66615216,moxifloxacin,0.16613318264311672,0.16285238781015932,0.003280794832957401,False
026c86906,HOG003_A549_24H:BRD-A47829399-001-01-1:0.0015,A549,BRD-A47829399,artesunate,0.18012426562284703,0.17517634908167598,0.004947916541171049,False
02858eca8,CPC014_HA1E_6H:BRD-K33572481-001-01-0:10,HA1E,BRD-K33572481,taurodeoxycholic-acid,0.16390967785175592,0.1620922288212095,0.0018174490305464253,False
02ae89796,DOS014_VCAP_6H:BRD-K84321619-001-01-5:5.03,VCAP,BRD-K84321619,BRD-K84321619,0.15862573348924225,0.15217912153132584,0.006446611957916404,False
02b14dcc0,CPC006_MCF7_24H:BRD-K57080016-001-04-3:80,MCF7,BRD-K57080016,selumetinib,0.16009456853588933,0.1577578354187431,0.002336733117146217,False
031afe482,DOSBIO001_NPC_24H:BRD-K33928422:10.0715,NPC,BRD-K33928422,BRD-K33928422,0.14775621328558824,0.14750280338475566,0.0002534099008325852,False
032128cc7,DOS059_A549_24H:BRD-K65266817-001-01-5:5,A549,BRD-K65266817,BRD-K65266817,0.1561672850155162,0.15265193148009745,0.003515353535418736,False
03478f3f9,CPC017_A375_6H:BRD-K10177585-003-01-6:10,A375,BRD-K10177585,PSB-11,0.15512971911181364,0.14105664881298946,0.01407307029882418,False
035a6a762,CPC012_A549_6H:BRD-K11883928-001-01-8:10,A549,BRD-K11883928,BRD-K11883928,0.14572209706122685,0.14178999037635498,0.003932106684871872,False
037888d25,DOS048_A375_24H:BRD-K80741006-001-01-9:5,A375,BRD-K80741006,BRD-K80741006,0.14827539019865466,0.1363071418252051,0.011968248373449564,False
0393401cc,DOS040_A375_24H:BRD-K89715659-001-01-4:4.99,A375,BRD-K89715659,BRD-K89715659,0.141257477082487,0.13767979411283282,0.003577682969654189,False
03b09563c,DOS047_A549_24H:BRD-K58033375-001-01-2:4.96,A549,BRD-K58033375,BRD-K58033375,0.17896436467770804,0.17588164138092766,0.0030827232967803875,False
03b81e62e,ERG017_VCAP_24H:BRD-K10731645:10,VCAP,BRD-K10731645,BRD-K10731645,0.14969532538771546,0.14832364241587093,0.0013716829718445345,False
03b86deca,CPC008_A375_6H:BRD-K52695588-003-01-3:10,A375,BRD-K52695588,BRD-K52695588,0.16528562717695255,0.16501438647290895,0.0002712407040436071,False
0438952f6,CPC016_A549_24H:BRD-K30990140-003-01-6:10,A549,BRD-K30990140,FR-122047,0.17147918237616588,0.16337692385286995,0.008102258523295935,False
043fedc3f,DOS052_A375_24H:BRD-K38955087-001-01-0:4.91,A375,BRD-K38955087,BRD-K38955087,0.14841205472324714,0.14300913433247153,0.005402920390775612,False
0472f88f4,DOS050_HT29_24H:BRD-K05896800-001-01-1:5,HT29,BRD-K05896800,BRD-K05896800,0.16307175303249702,0.1580065452898794,0.005065207742617622,False
04765e596,DOS011_VCAP_6H:BRD-K09276254-001-01-3:4.94,VCAP,BRD-K09276254,BRD-K09276254,0.16152330714735763,0.14646970179976398,0.015053605347593646,False
04791bbdf,CPC009_A549_6H:BRD-A01320529-001-08-3:10,A549,BRD-A01320529,salmeterol,0.17195271769768555,0.16795692072225943,0.003995796975426125,False
047d037a9,CPC012_A375_6H:BRD-K50493736-001-01-0:10,A375,BRD-K50493736,RAN-02,0.15571933069676774,0.14415072947429997,0.011568601222467778,False
04f5356dc,CPC006_HEC108_6H:BRD-K89692698-001-06-7:160,HEC108,BRD-K89692698,BRD-K89692698,0.1629720130964445,0.15453947543228208,0.00843253766416241,False
04fdc0c19,PCLB002_HCC515_24H:BRD-K98948170:33.33,HCC515,BRD-K98948170,BRD-K98948170,0.16865804875958063,0.14279420278945532,0.02586384597012531,False
050116d56,CPC018_MCF7_24H:BRD-A36267905-003-12-7:10,MCF7,BRD-A36267905,buphenine,0.14482653387013528,0.1425720549809024,0.002254478889232886,False
051a078dd,CPC009_PC3_6H:BRD-A11929187-001-07-4:10,PC3,BRD-A11929187,BRD-A11929187,0.16071008544416082,0.15446886258009862,0.006241222864062201,False
053b1881a,CPC003_HA1E_6H:BRD-K10705233-001-01-4:10,HA1E,BRD-K10705233,GW-405833,0.16852874966961495,0.15876811261506368,0.009760637054551269,False
053bd4f4a,DOS057_MCF7_24H:BRD-K92129795-001-01-8:5,MCF7,BRD-K92129795,BRD-K92129795,0.1440227085020988,0.1378670702272006,0.006155638274898206,False
053ebdb54,CPC006_WSUDLCL2_6H:BRD-A12230535-001-02-6:44.4,WSUDLCL2,BRD-A12230535,nutlin-3,0.146537767360003,0.1445726193850291,0.0019651479749739076,False
0553c169f,CPC016_MCF7_24H:BRD-K72676686-103-01-8:10,MCF7,BRD-K72676686,fluvoxamine,0.17306583036026868,0.1711506055742541,0.00191522478601458,False
059eeaab7,CPC011_A375_6H:BRD-K02992638-001-07-6:10,A375,BRD-K02992638,lamivudine,0.16589215120096665,0.1594491798840535,0.006442971316913154,False
05e9ef087,DOS054_A375_24H:BRD-K69480620-001-01-5:5,A375,BRD-K69480620,BRD-K69480620,0.1910025120109074,0.17101772497420342,0.019984787036703977,False
06008aff2,CPC004_MCF7_6H:BRD-K86301799-001-19-9:10,MCF7,BRD-K86301799,dipyridamole,0.17661561731085942,0.17440559392985053,0.0022100233810088965,False
062a92da6,CPC020_PC3_24H:BRD-K81272440-236-10-1:10,PC3,BRD-K81272440,dantrolene,0.15518661105035214,0.15421674401001836,0.0009698670403337772,False
0643dfd76,HOG002_A549_6H:BRD-A75409952-001-01-6:1.11,A549,BRD-A75409952,wortmannin,0.16156325621957213,0.15875912908597808,0.002804127133594042,False
0672af23e,RAD001_MCF7_24H:BRD-K80738081-001-23-7:0.3704,MCF7,BRD-K80738081,resveratrol,0.15440658363429227,0.1498418139040115,0.004564769730280777,False
06787fefe,CPC018_A549_24H:BRD-K65786282-001-02-6:10,A549,BRD-K65786282,CGP-7930,0.15285645602663187,0.14344087240836215,0.009415583618269718,False
0691eefdd,CPC014_HT29_6H:BRD-K64800655-001-01-7:10,HT29,BRD-K64800655,PHA-793887,0.16481138876346016,0.1638903437314675,0.0009210450319926677,False
06af533b3,RAD001_HCC515_6H:BRD-K95986273-001-01-9:0.3704,HCC515,BRD-K95986273,MW-MITF24,0.17081085263955736,0.15823599719903286,0.012574855440524502,False
06b61c0ea,DOS032_HT29_24H:BRD-K73199200-001-01-3:4.99,HT29,BRD-K73199200,BRD-K73199200,0.18763085689880588,0.16367118167518302,0.023959675223622856,False
06bc90c08,PCLB003_PC3_24H:BRD-K21001652-001-01-7:0.04,PC3,BRD-K21001652,BRD-K21001652,0.1535999744077419,0.14764959746403286,0.005950376943709035,False
06c3860e2,CPC006_SW480_6H:BRD-K92991072-001-02-3:10,SW480,BRD-K92991072,PAC-1,0.15233272839329817,0.15087825568462176,0.0014544727086764075,False
06cb74093,DOS052_A375_24H:BRD-K86336638-001-01-8:4.9,A375,BRD-K86336638,BRD-K86336638,0.153024390945589,0.14454247619946475,0.008481914746124253,False
070589dd4,CPC018_HEPG2_6H:BRD-K32480606-001-01-7:10,HEPG2,BRD-K32480606,"3,6-dimethoxyflavone",0.16231499262810478,0.15197438049339976,0.010340612134705024,False
071754ad0,CPC019_MCF7_6H:BRD-K18096819-001-01-2:10,MCF7,BRD-K18096819,BRD-K18096819,0.17253569939487798,0.1520655127132408,0.020470186681637165,False
071afe3da,CPC007_VCAP_6H:BRD-K84855138-001-05-5:10,VCAP,BRD-K84855138,BRD-K84855138,0.1682940622925339,0.16575427997936082,0.002539782313173089,False
071fd1189,DOS057_A549_24H:BRD-K45235808-001-01-6:5,A549,BRD-K45235808,BRD-K45235808,0.15715696412608388,0.15420720787513828,0.0029497562509455955,False
07502fc59,DOS021_VCAP_24H:BRD-K22854278-001-01-2:5.02,VCAP,BRD-K22854278,BRD-K22854278,0.1537166048385899,0.15272766143011307,0.0009889434084768278,False
0760632c4,CPC019_A375_6H:BRD-K33762302-001-01-4:10,A375,BRD-K33762302,BRD-K33762302,0.17362387630453044,0.17006519116413102,0.00355868514039942,False
07ab9d694,DOS055_PC3_24H:BRD-K85769686-001-01-2:5,PC3,BRD-K85769686,BRD-K85769686,0.1619533578981594,0.1548436763648131,0.00710968153334629,False
07b2e0af0,DOSBIO001_A375_24H:BRD-K75843415:10.0434,A375,BRD-K75843415,BRD-K75843415,0.1690299436956762,0.15085210800760057,0.018177835688075628,False
07bd8c42c,DOS051_HT29_24H:BRD-K84381175-001-01-5:5,HT29,BRD-K84381175,BRD-K84381175,0.1546227188013369,0.14711821969508385,0.00750449910625306,False
07cca32e8,CPC006_RMGI_6H:BRD-K75532464-001-01-4:10,RMGI,BRD-K75532464,FTI-276,0.17289100208821992,0.155138699436621,0.01775230265159891,False
07e329107,LJP001_HS578T_6H:BRD-K06569345-001-01-5:0.08,HS578T,BRD-K06569345,HG-5-88-01,0.15884462618150097,0.15521162511543646,0.003633001066064512,False
08049cfd7,DOS050_MCF7_24H:BRD-K65716211-001-01-1:5,MCF7,BRD-K65716211,BRD-K65716211,0.1623044176112478,0.15528209590637382,0.0070223217048739905,False
0805f8b1a,CPC013_NEU_24H:BRD-K14791739-001-01-9:10,NEU,BRD-K14791739,fluticasone,0.14888177103517863,0.14091165777721898,0.007970113257959655,False
0818cea28,DOS048_A375_24H:BRD-K76358141-001-01-4:5,A375,BRD-K76358141,BRD-K76358141,0.15611530951374114,0.1533267819534762,0.0027885275602649306,False
0838d5330,DOS052_A549_24H:BRD-K59983542-001-01-5:5.09,A549,BRD-K59983542,BRD-K59983542,0.15174332355611558,0.14377927161059,0.007964051945525574,False
0840ac02a,CPC001_HCC515_6H:BRD-K12120659-305-01-4:10,HCC515,BRD-K12120659,GR-144053,0.16843262124247038,0.16524135319656635,0.0031912680459040277,False
08451084b,CPC006_SW620_6H:BRD-K61250553-003-13-2:10,SW620,BRD-K61250553,loperamide,0.15603215260929348,0.1495029315637311,0.006529221045562389,False
0869981c5,CPC010_A375_6H:BRD-K60228169-001-06-3:10,A375,BRD-K60228169,BRD-K60228169,0.16233811743936022,0.14999147591257606,0.012346641526784163,False
088c123eb,DOS004_VCAP_6H:BRD-K12834930-001-01-6:5.02,VCAP,BRD-K12834930,BRD-K12834930,0.15631346621597808,0.14968349048762872,0.006629975728349363,False
08b785d36,DOS054_MCF7_24H:BRD-K82276852-001-01-9:5,MCF7,BRD-K82276852,BRD-K82276852,0.1867096519855554,0.16466263001749423,0.02204702196806116,False
08d495e06,PCLB002_A549_24H:BRD-A74907996:0.04,A549,BRD-A74907996,equol,0.16884389530328664,0.159571556020781,0.009272339282505648,False
08e555b5d,PCLB001_HCC515_6H:BRD-A59431241-001-02-9:0.16,HCC515,BRD-A59431241,COL-3,0.166854304139116,0.15935176072076834,0.0075025434183476625,False
08ef97d85,CPC019_HCC515_6H:BRD-K53501402-001-01-0:10,HCC515,BRD-K53501402,BRD-K53501402,0.1584181297630577,0.15479648644478047,0.003621643318277218,False
092369ae5,DOSBIO002_PC3_24H:BRD-K77644833:10.2131,PC3,BRD-K77644833,BRD-K77644833,0.16808652957022874,0.1639366623046017,0.00414986726562705,False
094f11f46,CPC015_HT29_6H:BRD-K51350053-048-06-6:10,HT29,BRD-K51350053,toremifene,0.16806924989259575,0.16520888863787148,0.002860361254724275,False
0957d670d,CPC018_HEPG2_6H:BRD-A84205515-001-02-5:10,HEPG2,BRD-A84205515,estriol,0.1762456611691597,0.17532560140437592,0.0009200597647837927,False
097e28a80,DOS051_MCF7_24H:BRD-K15232561-001-01-6:5.03,MCF7,BRD-K15232561,BRD-K15232561,0.15964396559352478,0.1477929278286378,0.011851037764886996,False
0994324f7,DOS050_PC3_24H:BRD-K51394868-001-01-9:5,PC3,BRD-K51394868,BRD-K51394868,0.14641496183721298,0.14605835709677745,0.0003566047404355288,False
099d52518,CPC019_VCAP_24H:BRD-K78524708-001-01-4:10,VCAP,BRD-K78524708,BRD-K78524708,0.16917010998819235,0.15893434399955841,0.010235765988633932,False
09a82e482,DOS019_VCAP_6H:BRD-K12272248-001-01-6:5.01,VCAP,BRD-K12272248,BRD-K12272248,0.1561361794889507,0.15530168067812256,0.0008344988108281437,False
09c344d7e,CPC009_VCAP_6H:BRD-K47490989-001-04-0:10,VCAP,BRD-K47490989,BRD-K47490989,0.1721386570047425,0.17186726298782834,0.00027139401691417264,False
09d2dafc9,DOSBIO001_NEU_24H:BRD-K21037590:10.1111,NEU,BRD-K21037590,BRD-K21037590,0.15433646256516112,0.15064430499815545,0.003692157567005666,False
09dfe3a61,DOS037_A549_24H:BRD-K88269272-001-01-0:5.01,A549,BRD-K88269272,BRD-K88269272,0.18036472519364577,0.17182231711557164,0.008542408078074132,False
09eea11d9,CPC016_MCF7_24H:BRD-K67831364-003-01-7:10,MCF7,BRD-K67831364,ZM-323881,0.16200208517064127,0.16070656048827142,0.0012955246823698474,False
09f1ecae4,CPC011_HT29_6H:BRD-K04710043-001-14-5:10,HT29,BRD-K04710043,hexamethylenebisacetamide,0.18351545789711993,0.1818768064431695,0.0016386514539504238,False
09fd73482,CPC002_HCC515_24H:BRD-K05528470-305-01-4:10,HCC515,BRD-K05528470,L-745870,0.19189171247915437,0.1578826569240463,0.03400905555510808,False
0a0ad13f2,CPC006_SKMEL1_6H:BRD-K56477805-001-08-8:10,SKMEL1,BRD-K56477805,BRD-K56477805,0.16167339701385225,0.1563038086702156,0.005369588343636655,False
0a18b9edc,PCLB001_HA1E_24H:BRD-K90370028-001-01-9:3.33,HA1E,BRD-K90370028,AT1-SHH-09,0.1473430589573868,0.13954478675579185,0.007798272201594958,False
0a238848b,CPC001_HCC515_6H:BRD-A89672324-001-02-2:10,HCC515,BRD-A89672324,CGP-55845,0.165184446805752,0.16402708208462022,0.0011573647211317872,False
0a303746d,DOS051_PC3_24H:BRD-K63090665-001-01-4:4.98,PC3,BRD-K63090665,BRD-K63090665,0.177556380629474,0.15670835141549688,0.020848029213977104,False
0a5a4f458,DOSBIO002_NPC_24H:BRD-K48527688:10.0287,NPC,BRD-K48527688,BRD-K48527688,0.14637167481142574,0.14523091051004308,0.0011407643013826574,False
0a7a2361d,DOS054_A549_24H:BRD-K24011082-001-01-3:5,A549,BRD-K24011082,BRD-K24011082,0.17120869418232854,0.16930169712201426,0.001906997060314275,False
0a90ac6bb,CPC008_A375_6H:BRD-K63712590-001-01-3:10,A375,BRD-K63712590,BRD-K63712590,0.17825379470103317,0.17803298360221229,0.00022081109882088334,False
0a9da712c,DOS047_A549_24H:BRD-K58033375-001-01-2:4.96,A549,BRD-K58033375,BRD-K58033375,0.16558247016844732,0.1456237434285236,0.019958726739923716,False
0aa0cd705,CPC009_A375_6H:BRD-K73285375-001-01-9:10,A375,BRD-K73285375,BRD-K73285375,0.16062764681646013,0.14692840725042947,0.013699239566030669,False
0ab979d56,CPC009_VCAP_6H:BRD-K92559570-001-03-3:10,VCAP,BRD-K92559570,KU-C103884,0.17900550942181215,0.16071330564283665,0.018292203778975502,False
0ab9dd71b,RAD001_A549_6H:BRD-K95986273-001-01-9:0.0137,A549,BRD-K95986273,MW-MITF24,0.17031512372645152,0.1623765294938409,0.007938594232610618,False
0b0c1110a,CPC005_PC3_6H:BRD-K49027941-237-01-1:10,PC3,BRD-K49027941,PSB-1115,0.16743625069618834,0.16133427217722718,0.00610197851896116,False
0b1ed98a0,CPC001_PC3_24H:BRD-K74141488-003-03-9:10,PC3,BRD-K74141488,naftifine,0.15445833840852521,0.15052766644383125,0.00393067196469396,False
0b2784841,PCLB003_A549_24H:BRD-K55478147-001-01-9:0.37,A549,BRD-K55478147,isonicotinohydroxamic-acid,0.15494782382716454,0.15141929902397416,0.0035285248031903804,False
0b33c4d4b,CPC016_MCF7_24H:BRD-K17868609-001-02-7:10,MCF7,BRD-K17868609,BRL-54443,0.1572330007826798,0.15482427556122197,0.0024087252214578248,False
0b4130695,CPC012_A549_24H:BRD-K78603557-001-01-8:10,A549,BRD-K78603557,BRD-K78603557,0.15869295071021902,0.1511339959456166,0.007558954764602416,False
0b4bcc9de,DOS002_VCAP_6H:BRD-K34094942-001-01-7:5.12,VCAP,BRD-K34094942,SA-90544,0.16651627994266036,0.16467142234124604,0.0018448576014143125,False
0b710dd39,DOS013_VCAP_24H:BRD-K60703313-001-01-1:5.02,VCAP,BRD-K60703313,BRD-K60703313,0.17770886016087897,0.17695633167720284,0.0007525284836761292,False
0b8cbbb45,CPC006_OV7_6H:BRD-K27316855-001-02-6:1,OV7,BRD-K27316855,calcitriol,0.17293869305874338,0.16213637671685502,0.010802316341888357,False
0bbc1ccf0,CPC014_PC3_6H:BRD-K09186807-001-01-6:10,PC3,BRD-K09186807,KIN001-244,0.16863606987125462,0.14707701532329123,0.02155905454796339,False
0bcee96a5,CPC006_COV644_6H:BRD-K15108141-001-01-7:0.08,COV644,BRD-K15108141,gemcitabine,0.15013024788410667,0.13712541617103585,0.013004831713070819,False
0bfdf50db,DOS030_VCAP_6H:BRD-K34981405-001-01-5:5.17,VCAP,BRD-K34981405,BRD-K34981405,0.15123633225868263,0.1463693386153188,0.0048669936433638206,False
0c3e1a7e3,DOS058_A549_24H:BRD-K47342144-019-01-3:5,A549,BRD-K47342144,BRD-K47342144,0.15231272004475377,0.1498794190181232,0.0024333010266305577,False
0c459ade8,DOS041_A549_24H:BRD-K15750053-001-01-2:4.99,A549,BRD-K15750053,BRD-K15750053,0.15395023389972912,0.15310583105511394,0.0008444028446151775,False
0c697edf3,CPC011_MCF7_6H:BRD-K59256312-066-10-8:10,MCF7,BRD-K59256312,gabexate,0.14846048946619408,0.1429456069495595,0.005514882516634595,False
0c8688cb8,CPC014_HCC515_6H:BRD-K53972329-001-02-1:10,HCC515,BRD-K53972329,ruxolitinib,0.1599767231919585,0.15892554085722427,0.0010511823347342242,False
0c8bdba10,DOS058_A549_24H:BRD-K80128321-019-01-9:5,A549,BRD-K80128321,BRD-K80128321,0.17539201764689105,0.17048878971414116,0.004903227932749887,False
0c9d6e27a,CPC006_HEC108_6H:BRD-A68631409-001-01-3:10,HEC108,BRD-A68631409,evodiamine,0.1444757124822094,0.14308467973809585,0.001391032744113535,False
0ca266ee0,CPC016_NPC_24H:BRD-K61177364-003-01-1:10,NPC,BRD-K61177364,NBI-27914,0.15599325586927426,0.14732769266263138,0.008665563206642884,False
0cc68ee7c,CPC019_HEPG2_6H:BRD-K15428056-001-01-2:10,HEPG2,BRD-K15428056,BRD-K15428056,0.1512743019767668,0.14441804227354166,0.006856259703225148,False
0d0a37f28,DOS056_PC3_24H:BRD-K20609812-001-01-5:5,PC3,BRD-K20609812,BRD-K20609812,0.15923263059403414,0.15190318217196788,0.007329448422066259,False
0d3228a10,DOS008_VCAP_6H:BRD-K70633610-001-01-8:5.02,VCAP,BRD-K70633610,BRD-K70633610,0.144157948015228,0.14378495343806053,0.0003729945771674681,False
0d353a095,PCLB002_A549_24H:BRD-K52160314:10,A549,BRD-K52160314,BRD-K52160314,0.1524070761367864,0.14377765074925275,0.00862942538753364,False
0d3eea33f,DOS053_A375_24H:BRD-K45230579-001-01-4:4.98,A375,BRD-K45230579,BRD-K45230579,0.1636189874968293,0.1611735588140589,0.0024454286827703953,False
0d4080d56,CPC006_EFO27_6H:BRD-A43331270-001-01-6:10,EFO27,BRD-A43331270,niguldipine,0.16698103906181708,0.1535044869474555,0.013476552114361579,False
0d6ea831c,DOS051_PC3_24H:BRD-K79106006-001-01-8:4.96,PC3,BRD-K79106006,BRD-K79106006,0.1647654224673243,0.15899688431286912,0.005768538154455188,False
0d7aae6fe,LJP001_MCF10A_24H:BRD-K05104363-001-05-0:2,MCF10A,BRD-K05104363,PD-184352,0.15285795304182334,0.1501090028257983,0.002748950216025031,False
0da838c8c,LJP001_MDAMB231_24H:BRD-K38615104-001-08-4:0.08,MDAMB231,BRD-K38615104,A-443644,0.17688464596684986,0.14485692889241567,0.03202771707443419,False
0dcd1acb9,DOS026_VCAP_24H:BRD-K83391808-001-01-0:4.99,VCAP,BRD-K83391808,BRD-K83391808,0.15437296205668377,0.15314448208003512,0.0012284799766486554,False
0ddc8c8dd,AML001_HL60_6H:BRD-K49071277:1.11111,HL60,BRD-K49071277,securinine,0.1576021587589503,0.154866840886663,0.002735317872287313,False
0de20729b,DOS056_A375_24H:BRD-K80579043-001-01-8:5,A375,BRD-K80579043,BRD-K80579043,0.14455220292049473,0.14184142637418656,0.0027107765463081634,False
0dedfb162,CPC006_SKMEL28_6H:BRD-A75409952:10,SKMEL28,BRD-A75409952,wortmannin,0.16573507536980592,0.1487868268957298,0.01694824847407611,False
0df3baf65,ERG015_PC3_6H:BRD-K99439802-001-01-5:10.0708,PC3,BRD-K99439802,BRD-K99439802,0.16658421889491978,0.1506408847515123,0.015943334143407484,False
0e328d0f9,LJP002_MDAMB231_24H:BRD-K75308783-001-02-1:0.4,MDAMB231,BRD-K75308783,SAR-245409,0.1662231873575238,0.1552979139611894,0.010925273396334423,False
0e33496df,CPC013_SKB_24H:BRD-A09164687-003-01-6:10,SKB,BRD-A09164687,BRD-A09164687,0.1479734235798062,0.145661032278374,0.0023123913014322095,False
0e430527f,CPC016_MCF7_24H:BRD-K45479396-103-01-2:10,MCF7,BRD-K45479396,BP-554,0.17825211550097517,0.16781704352112664,0.010435071979848526,False
0e6ee26ff,DOS060_A549_24H:BRD-K10701803-001-01-3:5,A549,BRD-K10701803,BRD-K10701803,0.14243564169688797,0.13313605652228522,0.009299585174602748,False
0e7d55a49,DOS040_A375_24H:BRD-K33750632-001-01-0:5.04,A375,BRD-K33750632,BRD-K33750632,0.15607615421907153,0.13949419224611415,0.016581961972957387,False
0e8624227,DOS006_VCAP_24H:BRD-K58377762-001-01-4:5.04,VCAP,BRD-K58377762,BRD-K58377762,0.15046857229608124,0.14830918498312076,0.0021593873129604757,False
0eae9401c,ERG017_VCAP_24H:BRD-K10731645:10,VCAP,BRD-K10731645,BRD-K10731645,0.18736960126787994,0.17861232852724995,0.008757272740629984,False
0ebfd755d,MUC.CP005_MCF7_6H:BRD-K07967886-001-01-5:9.9609,MCF7,BRD-K07967886,BRD-K07967886,0.16789362544732905,0.15697015534765796,0.010923470099671095,False
0f1a2baa0,DOS057_A375_24H:BRD-K81953058-001-01-6:5,A375,BRD-K81953058,BRD-K81953058,0.161685627844745,0.1487757217463199,0.0129099060984251,False
0f2ec8169,PCLB002_HT29_24H:BRD-K99636700:0.04,HT29,BRD-K99636700,BRD-K99636700,0.1482813252265413,0.14412602690382642,0.004155298322714884,False
0f38ca544,CPC012_HA1E_6H:BRD-K58279162-001-01-8:10,HA1E,BRD-K58279162,BRD-K58279162,0.15413534913583066,0.15378737185761707,0.00034797727821359037,False
0f47f25d6,CPC005_PC3_6H:BRD-A47513740-001-02-5:10,PC3,BRD-A47513740,calyculin,0.15631022773888884,0.15310362987763243,0.003206597861256405,False
0f7cd09d2,DOS004_VCAP_6H:BRD-K11792293-001-01-8:5.01,VCAP,BRD-K11792293,BRD-K11792293,0.13698042278247238,0.13430491484143253,0.002675507941039851,False
0fa4c6156,CPC016_MCF7_6H:BRD-K45479396-103-01-2:10,MCF7,BRD-K45479396,BP-554,0.1617616143967938,0.15323567193560372,0.008525942461190067,False
0fb911637,CPC006_RMUGS_6H:BRD-K80672993-001-01-1:88.8,RMUGS,BRD-K80672993,M2-PK-activator,0.16155475229847086,0.1575582698743944,0.003996482424076464,False
