smile,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class
COc1cc2oc(=O)ccc2cc1OC(C(C)C)C(C)C,-4.1,-5.9,-8.0,,Unknown
COc1cc2ccc(=O)oc2cc1OC(C(C)C)C(C)C,-4.7,-5.9,-8.1,,Unknown
CCO[C@@H](C)COc1cc2ccc(=O)oc2cc1OC,-6.4,-5.4,-7.6,,Unknown
CCO[C@H](C)COc1cc2ccc(=O)oc2cc1OC,-6.8,-5.6,-7.5,,Unknown
COc1cc2oc(=O)ccc2cc1O,-8.7,-5.1,-8.1,8.399999999999999,A
COc1cc2ccc(=O)oc2cc1OC(C)C,-6.8,-5.4,-7.3,,Unknown
COc1cc2oc(=O)ccc2cc1C(C)=O,-7.0,-5.2,-7.2,7.1,B
CCC(CC)Oc1cc2ccc(=O)oc2cc1OC,-6.5,-5.5,-8.0,,Unknown
CCC(CC)Oc1cc2oc(=O)ccc2cc1OC,-6.2,-5.6,-7.7,,Unknown
CC[C@@H](Oc1cc2ccc(=O)oc2cc1OC)C(C)C,-5.1,-5.7,-7.9,,Unknown
CCC(CC)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-3.5,-5.6,-8.1,,Unknown
CCC(CC)[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-3.1,-5.6,-8.0,,Unknown
CC[C@H](Oc1cc2ccc(=O)oc2cc1OC)C(C)C,-6.0,-5.6,-8.7,,Unknown
CCC(CC)[C@@H](CC)Oc1cc2oc(=O)ccc2cc1OC,-5.1,-5.9,-8.1,,Unknown
CCC(CC)[C@H](CC)Oc1cc2oc(=O)ccc2cc1OC,-2.8,-5.5,-8.1,,Unknown
CC[C@@H](Oc1cc2oc(=O)ccc2cc1OC)C(C)C,-5.1,-5.9,-8.0,,Unknown
CC[C@H](Oc1cc2oc(=O)ccc2cc1OC)C(C)C,-5.6,-6.4,-7.9,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CC(C)C,-5.3,-5.5,-8.1,,Unknown
COCC(COC)Oc1cc2ccc(=O)oc2cc1OC,-6.1,-5.8,-7.3,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)CC(C)C,-5.4,-5.7,-7.9,,Unknown
CC[C@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.3,-5.3,-7.8,,Unknown
COc1cc2oc(=O)ccc2cc1O[C@@H](C)CC(C)C,-5.1,-5.8,-8.2,,Unknown
CC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-7.4,-5.4,-7.6,7.5,B
COc1cc2oc(=O)ccc2cc1O[C@H](C)CC(C)C,-5.5,-5.7,-8.2,,Unknown
CC[C@H](C)Oc1cc2oc(=O)ccc2cc1OC,-6.0,-5.6,-7.7,,Unknown
CC[C@@H](C)Oc1cc2oc(=O)ccc2cc1OC,-6.9,-5.5,-7.5,,Unknown
CC(C)=CCC/C(C)=C\COc1ccc2ccc(=O)oc2c1,-4.6,-5.1,-9.8,,Unknown
CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1,-5.6,-5.9,-9.8,,Unknown
C=CC[C@@H](Oc1cc2oc(=O)ccc2cc1OC)C(C)C,-4.8,-5.8,-8.1,,Unknown
C=CC[C@H](Oc1cc2ccc(=O)oc2cc1OC)C(C)C,-5.8,-5.9,-8.7,,Unknown
C=CC[C@@H](Oc1cc2ccc(=O)oc2cc1OC)C(C)C,-4.1,-5.7,-8.4,,Unknown
C=CC[C@H](Oc1cc2oc(=O)ccc2cc1OC)C(C)C,-5.8,-6.4,-8.2,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)C(C)C,-5.4,-5.9,-8.1,,Unknown
COc1cc2oc(=O)ccc2cc1O[C@@H](C)C(C)C,-5.4,-5.8,-8.4,,Unknown
COc1cc2oc(=O)ccc2cc1O[C@H](C)C(C)C,-6.4,-5.8,-7.8,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)C(C)C,-5.8,-6.2,-8.0,,Unknown
C=CC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.8,-5.7,-7.9,,Unknown
COc1cc2oc(=O)ccc2cc1O[C@H](C)CC(C)(C)OC,-3.7,-6.2,-8.2,,Unknown
COc1cc2oc(=O)ccc2cc1O[C@@H](C)CC(C)(C)OC,-5.5,-5.9,-8.1,,Unknown
C=C[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-6.4,-5.4,-7.7,,Unknown
COC/C(C)=C\COc1ccc2ccc(=O)oc2c1,-6.8,-5.5,-8.8,,Unknown
C=CC[C@@H](C)Oc1cc2oc(=O)ccc2cc1OC,-6.4,-5.5,-7.7,,Unknown
COC/C(C)=C/COc1ccc2ccc(=O)oc2c1,-7.2,-5.4,-8.7,7.949999999999999,B
C=C[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-6.9,-5.5,-8.0,,Unknown
CC(C)=CCc1cc2ccc(=O)oc2cc1O,-7.3,-5.7,-9.4,8.35,A
CCC[C@H](C)Oc1cc2oc(=O)ccc2cc1OC,-5.9,-5.7,-7.8,,Unknown
CC[C@H](C)[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.2,-5.7,-8.1,,Unknown
CC[C@@H](C)[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-5.8,-5.8,-8.1,,Unknown
C=CCC(CC=C)Oc1cc2ccc(=O)oc2cc1OC,-5.8,-5.7,-8.3,,Unknown
C=C[C@@H](CC)Oc1cc2oc(=O)ccc2cc1OC,-5.7,-5.7,-7.8,,Unknown
C=C[C@H](CC)Oc1cc2oc(=O)ccc2cc1OC,-6.0,-5.8,-7.9,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)CC(C)(C)OC,-4.2,-6.0,-8.1,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CC(C)(C)OC,-3.3,-5.5,-8.0,,Unknown
CCC[C@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.4,-5.6,-8.0,,Unknown
CCC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.7,-5.6,-7.8,,Unknown
CCCc1cc2ccc(=O)oc2cc1OC,-6.5,-5.2,-7.2,,Unknown
CC[C@H](COC)Oc1cc2ccc(=O)oc2cc1OC,-6.6,-5.7,-7.7,,Unknown
CC[C@@H](COC)Oc1cc2ccc(=O)oc2cc1OC,-6.2,-5.5,-7.5,,Unknown
CCC[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-6.2,-5.7,-8.1,,Unknown
CCC[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-5.8,-5.4,-8.2,,Unknown
CCC[C@@H](C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-5.4,-5.6,-8.5,,Unknown
CCC[C@H](Oc1cc2ccc(=O)oc2cc1OC)[C@@H](C)CC,-4.8,-5.6,-8.4,,Unknown
CCC[C@@H](Oc1cc2ccc(=O)oc2cc1OC)[C@@H](C)CC,-5.4,-5.4,-8.2,,Unknown
C=C[C@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,-6.9,-5.7,-8.1,,Unknown
C=C[C@@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,-4.9,-5.5,-7.9,,Unknown
CCC[C@@H](C)Oc1cc2oc(=O)ccc2cc1OC,-6.2,-5.5,-7.5,,Unknown
CC(C)=CCOc1cc2oc(=O)cc(C)c2cc1Cl,-3.9,-6.1,-8.5,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)C(F)(F)F,-7.6,-6.2,-8.2,7.899999999999999,B
COc1cc2ccc(=O)oc2cc1O[C@H](C)C(F)(F)F,-7.3,-6.3,-8.3,7.800000000000001,B
COc1cc2oc(=O)ccc2cc1O[C@H](C)C(F)(F)F,-7.1,-5.9,-8.0,7.55,B
COc1cc2oc(=O)ccc2cc1O[C@@H](C)C(F)(F)F,-7.2,-6.0,-7.9,7.550000000000001,B
CCOC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-6.9,-5.3,-7.4,,Unknown
CCOC[C@H](C)Oc1cc2ccc(=O)oc2cc1OC,-5.7,-5.4,-7.4,,Unknown
CCc1cc(=O)oc2cc(OCC=C(C)C)ccc12,-6.8,-5.8,-9.3,,Unknown
Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,-6.4,-6.3,-8.7,,Unknown
COc1cc(O[C@H](C)C(C)C)cc2oc(=O)ccc12,-5.6,-5.9,-8.7,,Unknown
COc1cc(O[C@@H](C)C(C)C)cc2oc(=O)ccc12,-4.4,-5.8,-8.9,,Unknown
CCOc1cc2oc(=O)cc(C)c2cc1OCC,-6.8,-5.3,-7.3,,Unknown
C=CCOc1cc2oc(=O)cc(C)c2cc1CC,-6.7,-5.4,-7.6,,Unknown
COC(=O)COc1cc2oc(=O)cc(C)c2cc1Cl,-6.1,-5.8,-7.4,,Unknown
C=C(C)COc1cc2oc(=O)cc(CC)c2cc1Cl,-5.8,-5.9,-7.4,,Unknown
COCC(=O)COc1cc2oc(=O)cc(C)c2cc1Cl,-5.7,-6.0,-7.7,,Unknown
CC(Cl)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.7,-8.9,8.25,A
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-6.3,-5.5,-8.2,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CCCC(C)C,-5.2,-5.3,-8.7,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)CCCC(C)C,-5.9,-5.7,-8.0,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)C(=O)OCCC(C)C,-4.6,-5.9,-8.7,,Unknown
C=CCC[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-5.5,-5.5,-8.0,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)C(=O)OCCC(C)C,-4.5,-6.1,-8.3,,Unknown
C=CCC[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-5.6,-5.6,-8.0,,Unknown
C=CC[C@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,-5.7,-5.6,-8.5,,Unknown
C=CC[C@@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,-5.7,-5.5,-8.4,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@H](C)COC(C)(C)C,-3.3,-6.1,-7.8,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)COC(C)(C)C,-2.7,-5.9,-7.8,,Unknown
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CC(=O)OC(C)(C)C,-3.5,-5.7,-8.9,,Unknown
CC(C)=CCOc1ccc2c(C)cc(=O)oc2c1,-6.8,-6.0,-9.2,,Unknown
COc1cc2cc(CC=C(C)C)c(=O)oc2cc1O,-6.6,-6.1,-9.2,,Unknown
CCc1cc(=O)oc2c(C)c(OCC=C(C)C)ccc12,-3.0,-5.3,-9.1,,Unknown
C=C(C)COc1ccc2ccc(=O)oc2c1,-6.5,-5.5,-8.6,,Unknown
COc1cc2ccc(=O)oc2c(C(C)=O)c1OC,-7.0,-5.4,-6.6,,Unknown
CCCc1cc(=O)oc2cc(OCC=C(C)C)ccc12,-6.2,-5.5,-9.3,,Unknown
COc1cc2ccc(=O)oc2c(O)c1OC,-8.0,-5.7,-6.9,,Unknown
COc1cc2ccc(=O)oc2c(OC)c1O,-7.6,-5.2,-8.0,7.8,B
CCOc1ccc2ccc(=O)oc2c1,-7.5,-4.9,-8.0,7.75,B
C=C(C)CCOc1ccc2ccc(=O)oc2c1,-7.3,-5.2,-8.5,7.9,B
CCCCc1cc(=O)oc2cc(OCC=C(C)C)ccc12,-5.6,-5.7,-9.6,,Unknown
C[C@H](O)COc1ccc2ccc(=O)oc2c1,-7.1,-5.8,-8.5,7.8,B
C[C@@H](O)COc1ccc2ccc(=O)oc2c1,-7.4,-5.9,-8.7,8.05,A
COc1cc2ccc(=O)oc2c(OC[C@@H](C)OC)c1O,-7.0,-5.5,-7.1,7.05,B
CCCOc1ccc2ccc(=O)oc2c1,-6.9,-5.1,-8.2,,Unknown
Cc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,-4.0,-6.9,-9.5,,Unknown
Cc1cc(Nc2ccc(F)cc2)n2nc(C(F)(F)F)nc2n1,-5.9,-7.1,-9.1,8.1,A
Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,-4.0,-6.8,-8.9,,Unknown
Cc1cc(Nc2ccccc2)n2nc(C(F)(F)F)nc2n1,-6.0,-6.8,-8.9,,Unknown
Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2nc(C(F)(F)F)nc2n1,3.4,-7.1,-9.8,8.45,A
CSc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,1.3,-6.8,-8.5,,Unknown
Cc1cc(Nc2ccc(C(C)C)cc2)n2nc(C(F)(F)F)nc2n1,1.1,-7.0,-10.2,8.6,A
COc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,-4.0,-6.8,-9.1,,Unknown
CC(=O)Nc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,1.7,-7.5,-10.0,8.75,A
Cc1cc(Nc2ccc(F)c(C)c2)n2nc(C(F)(F)F)nc2n1,-4.1,-7.3,-9.1,8.2,A
Cc1cc(Nc2ccc(C)c(F)c2)n2nc(C(F)(F)F)nc2n1,-3.4,-7.4,-9.2,8.3,A
Cc1cc(Nc2ccc(OC(C)C)cc2)n2nc(C(F)(F)F)nc2n1,2.2,-7.0,-9.7,8.35,A
COCc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,-2.7,-6.8,-9.3,,Unknown
Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.6,-7.3,-9.6,8.45,A
COC(=O)Nc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,1.3,-7.4,-9.8,8.600000000000001,A
Cc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.9,-7.2,-9.1,8.15,A
COc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1OC,-3.0,-7.0,-8.6,7.8,B
Cc1cc(Nc2ccc(NC(=O)C(C)C)cc2)n2nc(C(F)(F)F)nc2n1,7.7,-7.7,-10.7,9.2,A
CCOCc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,0.8,-6.6,-9.5,,Unknown
COCCOc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,0.1,-6.6,-9.0,,Unknown
Cc1cc(Nc2ccc(CCC#N)cc2)n2nc(C(F)(F)F)nc2n1,1.1,-6.8,-9.9,,Unknown
Cc1cc(Nc2ccc(COC(C)C)cc2)n2nc(C(F)(F)F)nc2n1,1.6,-6.8,-9.9,,Unknown
Cc1cc(Nc2cccc(Cl)c2)n2nc(C(F)(F)F)nc2n1,-5.4,-7.0,-8.7,7.85,B
COc1cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)ccc1F,-5.4,-7.1,-8.8,7.95,B
CCc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1F,-1.7,-7.1,-9.5,8.3,A
CCc1cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)ccc1F,-4.5,-7.3,-9.2,8.25,A
CCOc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1OCC,-0.9,-6.8,-8.6,,Unknown
Cc1cc(Nc2cccc(C(C)C)c2)n2nc(C(F)(F)F)nc2n1,-3.4,-7.1,-9.5,8.3,A
CCc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.1,-7.0,-9.3,8.15,A
COc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.4,-6.8,-8.7,,Unknown
Cc1cc(Nc2ccc(C(C)(F)F)cc2)n2ncnc2n1,-1.1,-6.5,-10.3,,Unknown
COCc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.2,-6.9,-8.8,,Unknown
Cc1cc(Nc2cc(F)cc(N(C)C)c2)n2nc(C(F)(F)F)nc2n1,-3.8,-7.3,-8.7,8.0,A
COc1cc(F)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.0,-7.2,-8.9,8.05,A
Cc1cc(Nc2cccc(OCC(C)C)c2)n2nc(C(F)(F)F)nc2n1,-1.5,-7.0,-9.3,8.15,A
Cc1cc(Nc2ccc(C(C)(C)C(F)(F)F)cc2)n2ncnc2n1,4.1,-6.9,-10.3,,Unknown
Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,-3.0,-6.8,-10.2,,Unknown
Cc1cc(Nc2ccc(C(C)(C)C)cc2)n2ncnc2n1,4.0,-6.6,-9.9,,Unknown
Cc1cc(Nc2ccc(CC(F)(F)F)cc2)n2ncnc2n1,-1.6,-6.5,-9.8,,Unknown
Cc1cc(Nc2ccc(CCC(F)(F)F)cc2)n2ncnc2n1,-3.6,-6.4,-10.1,,Unknown
Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2ncnc2n1,1.7,-6.2,-9.6,,Unknown
Cc1cc(Nc2ccc(C)c(C(F)(F)F)c2)n2ncnc2n1,-4.5,-6.8,-9.9,,Unknown
CCC(C)(C)c1ccc(Nc2cc(C)nc3ncnn23)cc1,3.1,-6.4,-9.7,,Unknown
Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ncnc2n1,-2.3,-7.0,-10.2,8.6,A
Cc1cc(Nc2ccc(F)c(C(F)(F)F)c2)n2ncnc2n1,-4.0,-6.9,-10.0,,Unknown
Cc1cc(Nc2ccc(C(C)(C)C)c(F)c2)n2ncnc2n1,4.1,-6.7,-9.7,,Unknown
Cc1cc(Nc2ccc(Cl)c(C(F)(F)F)c2)n2ncnc2n1,-4.4,-6.8,-9.8,,Unknown
Cc1cc(Nc2ccc(C(F)(F)F)c(Cl)c2)n2ncnc2n1,-2.7,-6.7,-9.9,,Unknown
Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,-0.5,-6.4,-9.9,,Unknown
Cc1cc(Nc2cccc(C(C)(C)C)c2)n2ncnc2n1,-3.6,-6.6,-9.6,,Unknown
Cc1ccc(Nc2cc(C(F)(F)F)nc3ncnn23)cc1,-4.2,-6.7,-9.8,,Unknown
CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C,11.7,-5.9,-9.8,,Unknown
CC(=O)c1sc(NC(=O)Nc2cc(C)ccc2C)nc1C,8.4,-5.8,-9.7,,Unknown
CC(=O)c1sc(NC(=O)Nc2ccccc2Cl)nc1C,6.6,-6.1,-9.3,,Unknown
Cc1cc(O)ccc1NC(=O)Nc1nc(C)c(C)s1,4.1,-5.9,-9.7,,Unknown
CC(=O)c1sc(NC(=O)Nc2cccc(Cl)c2Cl)nc1C,11.4,-6.0,-9.9,,Unknown
CCOC(=O)c1sc(NC(=O)Nc2cc(C)ccc2C)nc1C,10.5,-5.8,-9.6,,Unknown
CCc1sc(NC(=O)Nc2ccc(O)cc2C)nc1C,7.2,-5.8,-9.7,,Unknown
CC(=O)c1sc(NC(=O)Nc2cccc(Cl)c2)nc1C,7.6,-6.0,-9.4,,Unknown
CCOC(=O)c1nc(NC(=O)Nc2ccc(C)cc2C)sc1C,-1.0,-6.4,-9.2,,Unknown
CC(=O)c1nc(NC(=O)Nc2cc(C)ccc2C)sc1C,-0.9,-6.5,-9.4,,Unknown
Cc1ccccc1NC(=O)Nc1nc(C)c(C)s1,0.9,-5.9,-9.0,,Unknown
Cc1cc(O)ccc1NC(=O)Nc1nc(C(C)C)c(C)s1,9.0,-6.0,-10.4,,Unknown
CCc1nc(NC(=O)Nc2ccc(O)cc2C)sc1C,4.5,-5.9,-9.8,,Unknown
Cc1cc(NC(=O)Nc2nc(C)c(C)s2)c(C)cc1O,5.6,-6.3,-10.1,,Unknown
CCOC(=O)c1sc(NC(=O)Nc2cc(C)c(OC)cc2C)nc1C,14.5,-5.8,-9.7,,Unknown
COC(=O)c1sc(NC(=O)Nc2ccccc2Br)nc1C,6.6,-5.9,-8.9,,Unknown
COC(=O)c1sc(NC(=O)Nc2ccccc2F)nc1C,3.4,-5.9,-9.3,,Unknown
COC(=O)c1sc(NC(=O)Nc2ccccc2OC)nc1C,7.2,-5.6,-9.2,,Unknown
Cc1cccc(NC(=O)Nc2nc(C)c(C)s2)c1C,6.4,-5.6,-9.5,,Unknown
CCc1sc(NC(=O)Nc2cc(C)c(O)cc2C)nc1C,8.0,-5.9,-10.2,,Unknown
CCOC(=O)c1nc(NC(=O)Nc2ccc(OC)cc2C)sc1C,1.3,-6.5,-8.5,,Unknown
CCOC(=O)c1sc(NC(=O)Nc2ccccc2Br)nc1C,6.5,-5.8,-9.1,,Unknown
COc1ccc(NC(=O)Nc2nc(C(C)=O)c(C)s2)c(OC)c1,10.3,-5.8,-9.3,,Unknown
Cc1cc(O)ccc1NC(=O)Nc1ncc(C(C)C)s1,-2.3,-6.3,-8.5,,Unknown
CCc1csc(NC(=O)Nc2ccc(O)cc2C)n1,2.0,-5.9,-9.1,,Unknown
CCc1cnc(NC(=O)Nc2ccc(O)cc2C)s1,-6.8,-6.2,-7.9,,Unknown
Cc1cc(O)ccc1NC(=O)Nc1nc(C(C)C)cs1,5.6,-6.2,-9.6,,Unknown
CC(=O)c1nc(NC(=O)Nc2ccc(C)cc2)sc1C,-1.3,-6.2,-9.5,,Unknown
COCc1cnc(NC(=O)Nc2cc(C)ccc2C)s1,-1.7,-5.7,-8.5,,Unknown
CCc1sc(NC(=O)Nc2cc(F)c(O)cc2C)nc1C,7.8,-5.9,-9.9,,Unknown
CCCc1cnc(NC(=O)Nc2ccc(O)cc2C)s1,-5.8,-6.1,-8.4,,Unknown
CCCc1csc(NC(=O)Nc2ccc(O)cc2C)n1,2.7,-5.8,-9.1,,Unknown
Cc1csc(NC(=O)Nc2ccc(N(C)C)cc2C)n1,10.2,-5.8,-9.5,,Unknown
CCOC(=O)c1sc(NC(=O)Nc2ccc(C)c(OCC)c2)nc1C,11.7,-5.8,-10.0,,Unknown
CCc1cc(O)ccc1NC(=O)Nc1nc(CC)c(C)s1,5.9,-5.7,-9.5,,Unknown
Cc1nc(NC(=O)Nc2cccc(F)c2C)sc1C,-4.4,-6.2,-8.5,,Unknown
CCOC(=O)c1sc(NC(=O)Nc2cccc(CC)c2)nc1C,8.8,-5.6,-9.8,,Unknown
CCCc1cnc(NC(=O)Nc2cc(C)ccc2C)s1,-1.2,-5.8,-8.9,,Unknown
CCc1nc(NC(=O)Nc2cc(C)c(O)cc2C)sc1C,6.6,-6.0,-10.2,,Unknown
CCc1sc(NC(=O)Nc2ccc(O)cc2)nc1C,7.5,-5.8,-9.0,,Unknown
CCc1cc(O)ccc1NC(=O)Nc1nc(C(C)C)c(C)s1,8.2,-6.2,-10.1,,Unknown
CCc1nc(NC(=O)Nc2ccc(O)cc2OC)sc1C,3.9,-5.6,-9.5,,Unknown
CCc1nc(NC(=O)Nc2ccc(OC)cc2OC)sc1C,7.0,-5.6,-8.9,,Unknown
CCc1sc(NC(=O)Nc2cc(C)c(O)c(C)c2)nc1C,12.3,-5.8,-10.3,,Unknown
COCCc1cnc(NC(=O)Nc2cc(C)ccc2C)s1,-1.9,-5.8,-8.1,,Unknown
CCOC(=O)c1nc(NC(=O)Nc2ccccc2C)sc1C,-3.1,-6.3,-8.5,,Unknown
COc1ccc(NC(=O)Nc2nc(C(C)=O)c(C)s2)cc1,10.0,-6.1,-9.3,,Unknown
CCc1nc(NC(=O)Nc2cc(C)c(OC)cc2C)sc1C,3.4,-6.3,-9.8,,Unknown
COc1cccc(NC(=O)Nc2nc(C(C)=O)c(C)s2)c1,-1.8,-6.1,-9.0,,Unknown
CCc1nc(NC(=O)Nc2ccc(C)cc2)sc1C,-2.4,-5.8,-8.5,,Unknown
CCc1sc(NC(=O)Nc2ccc(C)c(OC)c2)nc1C,10.8,-5.4,-9.4,,Unknown
CCc1nc(NC(=O)Nc2cc(C)c(O)c(C)c2C)sc1C,12.9,-6.0,-10.4,,Unknown
COCc1cnc(NC(=O)Nc2ccccc2C)s1,-6.2,-5.8,-7.6,,Unknown
COCc1csc(NC(=O)Nc2ccccc2C)n1,-5.6,-6.0,-8.0,,Unknown
CCc1cnc(NC(=O)Nc2ccccc2C)s1,-6.9,-5.8,-8.0,,Unknown
COCc1csc(NC(=O)Nc2cc(C)c(O)cc2C)n1,3.4,-5.6,-9.2,,Unknown
Cc1cc(NC(=O)Nc2nc(C(C)C)cs2)c(C)cc1O,6.4,-6.0,-10.2,,Unknown
CCc1cnc(NC(=O)Nc2cc(C)c(O)cc2C)s1,-4.0,-6.3,-8.1,,Unknown
Cc1cc(NC(=O)Nc2ncc(C(C)C)s2)c(C)cc1O,-0.1,-6.5,-8.6,,Unknown
CCCc1csc(NC(=O)Nc2ccccc2C)n1,-5.4,-5.7,-8.7,,Unknown
CCc1csc(NC(=O)Nc2cc(C)c(O)cc2C)n1,4.1,-5.8,-9.5,,Unknown
Cc1sc(NC(=O)Nc2ccc(O)cc2)nc1C(C)C,7.6,-6.3,-9.9,,Unknown
COc1cc(C)c(NC(=O)Nc2ncc(C(C)C)s2)cc1OC,3.8,-6.1,-8.7,,Unknown
CCCc1cnc(NC(=O)Nc2cc(C)c(O)cc2C)s1,-3.4,-6.3,-8.5,,Unknown
COCc1cnc(NC(=O)Nc2cc(F)c(O)cc2C)s1,-4.4,-6.1,-7.6,,Unknown
COc1cc(C)c(NC(=O)Nc2ncc(C(C)C)s2)cc1C,2.1,-6.0,-8.9,,Unknown
CCCc1csc(NC(=O)Nc2ccc(O)cc2CC)n1,3.8,-5.9,-9.3,,Unknown
COc1cc(NC(=O)Nc2ncc(C(C)C)s2)c(C)cc1C,1.9,-6.0,-8.7,,Unknown
CCc1csc(NC(=O)Nc2cc(C)c(OC)cc2C)n1,7.3,-5.5,-9.1,,Unknown
COc1cc(C)c(NC(=O)Nc2ncc(C(F)(F)F)s2)cc1OC,2.4,-6.3,-8.5,,Unknown
COc1ccc(NC(=O)Nc2nc(C(C)C)c(C)s2)cc1,10.5,-5.9,-8.4,,Unknown
COCc1csc(NC(=O)Nc2cc(C)c(O)c(C)c2C)n1,7.8,-5.9,-9.7,,Unknown
COCc1cnc(NC(=O)Nc2cc(C)c(O)c(C)c2C)s1,1.2,-6.3,-7.9,,Unknown
CCOC(=O)c1nc(NC(=O)Nc2ccccc2Cl)sc1C,-2.9,-6.2,-8.6,,Unknown
COc1ccc(NC(=O)Nc2ncc(C(C)C)s2)c(OC)c1,7.6,-5.7,-9.2,,Unknown
COc1ccc(NC(=O)Nc2ncc(C(N)=O)s2)c(OC)c1,5.1,-6.0,-9.2,,Unknown
CCCc1csc(NC(=O)Nc2cc(C)c(OC)cc2C)n1,8.4,-5.6,-9.1,,Unknown
CCc1csc(NC(=O)Nc2cc(C)c(O)c(C)c2C)n1,7.2,-5.8,-9.9,,Unknown
COc1cnc(NC(=O)Nc2cc(C(C)C)c(O)cc2C)s1,1.3,-6.3,-8.9,,Unknown
COCCc1cnc(NC(=O)Nc2cc(C)c(O)cc2C)s1,-2.6,-6.2,-8.1,,Unknown
CCCc1cnc(NC(=O)Nc2cc(OC)c(C)cc2C)s1,0.4,-5.9,-8.2,,Unknown
CCCc1cnc(NC(=O)Nc2cccc(C)c2C)s1,-2.5,-5.9,-8.4,,Unknown
CCn1c(SCC(=O)Nc2ccccc2Cl)nc2ccccc2c1=O,-2.0,-6.5,-10.0,,Unknown
CCn1c(SCC(=O)Nc2ccccc2F)nc2ccccc2c1=O,-2.8,-6.7,-9.7,,Unknown
