SMILES,aff_4gm2,aff_6ukj,aff_7f3y,aff_9n10,conf_4gm2,conf_6ukj,conf_7f3y,conf_9n10
C=C(Cl)C(Cl)=C=CNc1nc(NCCCNCCCC=CCOO)c2ccccc2n1,-4.512,-10.62,-7.833,-6.623,-1.52,-1.89,-1.18,-3.08
C=C(Cl)C(Cl)=CC=CN[SH]1#Cc2ccccc2N=CNOCC1,-4.342,-7.563,-6.406,-4.94,-0.9,-1.79,-1.41,-2.53
C=C(Cl)C(Cl)=CNOCCCC1CCCNCCON1,-3.976,-8.039,-5.822,-4.27,-0.83,-1.48,-1.09,-2.93
C=C(Cl)C(N)=CC=CNC1C=CC=CC=CN(CCO)C=N1,-4.357,-8.448,-6.468,-5.399,-1.19,-1.69,-1.23,-2.17
C=C(Cl)C1=CC(N)C=NC2C=NOC(=N2)NCCOCC#CN=C1,-4.781,-7.519,-6.442,-5.292,-0.82,-1.09,-1.35,-2.83
C=C(Cl)CC=CNc1nc(NCCO)c2ccccc2n1,-3.928,-8.274,-6.816,-5.095,-1.69,-1.8,-1.25,-1.75
C=C(Cl)COc1ccc2c(CC)cc(=O)oc2c1,-3.778,-7.798,-6.396,-4.459,-1.21,-0.6,-0.65,-1.57
C=C/C=C/CC(=O)NCC(C)N,-3.266,-6.427,-4.7,-4.665,-0.82,-1.87,-0.52,-2.14
C=C1C=CC=C2CC(NCCO)=NC(=N2)[N+]=C=CC1=CCl,-4.291,-9.125,-6.728,-5.647,-1.82,-0.37,-0.49,-2.56
C=C1C=CC=C2N=C(Nc3ccc(Cl)c(Cl)c3)NOC12N=[S-]C#[SH],-4.485,-8.011,-6.69,-5.549,-2.52,-0.96,-1.3,-1.59
C=C1N=C2N=C(NCCO)C1C#C[P-](Cl)C=CC=CN2,-4.213,-7.039,-6.43,-5.092,-0.55,-0.73,-0.98,-2.18
C=C1NOCNOCCC12C=CC2NC=CC=C(Cl)C(C)N1C=CN=CCO1,-4.387,-8.981,-7.479,-5.734,-1.85,-0.67,-0.72,-1.52
C=C1OCC2=NCNc3cc(Cl)c(Cl)cc3NC1=CC=C2,-4.552,-7.498,-6.257,-5.524,-1.65,-0.9,-1.05,-1.15
C=C1[N+]C(=CNC(Cl)=Nc2ccccc2CCCO)C=C1Cl,-4.242,-8.517,-7.004,-5.818,-2.3,-0.74,-0.54,-1.4
C=C=C(N)C(Cl)=CCNC(C=CN=CNCl)N=C(C)NCCO,-3.48,-7.825,-6.621,-4.45,-1.63,-1.41,-1.21,-2.56
C=C=C(N)C(Cl)=CCNC1C=CC=CC#CN(CCO)C=N1,-4.296,-8.311,-6.925,-5.968,-0.8,-1.28,-0.66,-1.98
C=C=CC=C1CCN(CCO)NC(NCC=CC(C)Cl)=NN1,-4.106,-8.312,-6.521,-4.686,-0.85,-1.41,-1.28,-1.87
C=C=NC(=NC1(CCNC=NCO)C=CC1C)NC=[S+]=CC=CC(=C)Cl,-4.223,-9.384,-7.678,-6.165,-2.25,-1.34,-1.47,-2.49
C=CC(C)NC(=O)NCCCCC1=CNC2=CC=CC=C12,-4.546,-8.883,-7.154,-4.941,-1.09,-1.53,-0.42,-2.99
C=CC1=CCCCCC(CNCCON2N=C2Nc2ccc(Cl)c(Cl)c2)N=CC=N1,-4.568,-9.445,-7.882,-5.669,-1.05,-1.79,-1.28,-2.98
C=CC=C1C(NCCO)CC#Cc2nc(nc3ccccc23)NCC=C(Cl)C1S,-4.73,-7.804,-7.265,-5.003,-1.47,-1.47,-1.22,-2.47
C=CC=C1N=C(c2ccc(Cl)c(Cl)c2)NOC1[S-]NCC,-4.178,-8.216,-6.542,-5.22,-2.0,-1.01,-0.94,-1.25
C=CCC=CC#CCNC=CSC1=CC=C(CN=C(CC)NCCC)C(CC=NCC=C)=Nc2ccccc21,-5.27,-7.403,-8.247,-5.644,-2.17,-2.06,-1.46,-2.59
C=CCNOCCNC1C(CCl)=Nc2cccc1c2,-3.823,-6.864,-5.817,-5.285,-1.06,-1.56,-0.86,-1.83
C=CCOCCCCCN=CC#CC=CCC#CN=C(CNCCO)NC=CC=C(Cl)C(N)Cl,-4.416,-10.41,-9.157,-5.248,-2.34,-1.69,-1.54,-2.51
C=CN=C(Cl)c1cccc(Cl)c1,-3.405,-5.398,-4.823,-4.024,-0.23,-0.6,-0.46,-1.22
C=CN=C1N=CC2C(=CC=C(c3ccc(Cl)cc3)C2=CC=CC#CCl)O1,-4.859,-9.266,-7.608,-5.24,-1.0,-1.55,-1.36,-2.56
C=CNC(CN=CNCC=CC#CF)COCCCCCN=C,-4.317,-8.37,-7.364,-5.838,-1.4,-1.53,-1.82,-2.31
C=CNCC1=NC(C)(N2CC=C(Cl)C(N)C2Cl)C2=CC=CCOCCNC=NC21,-4.557,-8.698,-7.25,-5.393,-1.66,-3.0,-1.23,-1.75
C=C[C@@H](C)OC(=O)/C=C/c1cc(OC)c(O)c(OC)c1,-3.988,-7.756,-6.35,-4.819,-0.29,-1.27,-1.37,-2.25
C=C[C@@](C)(O)C(=O)Nc1cc(S(=O)(=O)CC)ccc1O,-3.956,-8.985,-6.51,-4.614,-1.65,-1.2,-1.99,-1.02
C=C[C@@](C)(O)CC(=O)N[C@H](C)CCC=C(C)C,-3.389,-7.432,-5.793,-4.686,-1.17,-1.41,-0.46,-3.26
C=C[C@H](CO)[NH2+]Cc1cc(=O)oc2cc(O)c(CC)cc12,-4.146,-8.96,-7.571,-5.471,-2.24,-1.73,-1.65,-1.37
C=NC=CC=CCCOC=CCNC(C=CC=CC=C=C=CN=CC=CC#COC(Cl)=CC)=NC=CC=CC,-5.379,-6.132,-8.718,-5.829,-1.9,-2.05,-2.23,-2.18
C=NC=CNC=CC=CCC=CNOCCNC=NCc1nc(CCNC)c2ccccc2n1,-4.802,-12.24,-8.331,-5.356,-1.85,-1.91,-0.99,-2.39
CC#CC=NC=CC(C)C(Cl)=CCC1=Nc2cccc(C)c2C1NCCO,-4.244,-8.023,-7.336,-5.98,-1.39,-2.24,-1.16,-2.06
CC#CCS(=O)(=O)c1cccc(C(=O)Nc2nc(-c3ccc(OCC)cc3)c(C)s2)c1,-4.983,-10.79,-8.297,-5.347,-1.69,-1.59,-1.77,-1.58
CC(=CCc1nc(CCON)c2ccccc2n1)CCl,-4.185,-8.017,-6.984,-5.071,-2.22,-2.37,-1.1,-1.47
CC(=O)/C=C(/C)NC(=O)[C@H](O)Cc1c[nH]c2ccccc12,-4.351,-8.197,-6.847,-5.125,-0.49,-1.12,-0.55,-1.94
CC(=O)C1=C(C)SC(NC(=O)NC2=CC(C)=CC=C2C)=N1,-4.449,-7.941,-6.301,-4.921,-2.62,-1.33,-0.87,-1.86
CC(=O)C1=C(F)C=CC=C1N(C)CC(C)O,-3.692,-7.241,-5.216,-5.158,-1.6,-1.2,-0.71,-1.66
CC(=O)c1ccc(Nc2nc(N)c3ccccc3n2)cc1,-4.185,-8.7,-7.044,-4.838,-1.6,-1.28,-1.0,-1.72
CC(C#N)OC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,-4.463,-9.161,-6.752,-4.801,-1.07,-1.58,-1.2,-2.34
CC(C)(C)CC(C)(C)NC[C@@H](O)C1=CC=C(Cl)C=C1,-3.936,-9.022,-6.287,-5.031,-1.58,-1.06,-1.54,-2.77
CC(C)(C)ON=CC1=CC=C(O)C(C(=O)O)=C1,-3.739,-7.457,-6.248,-4.967,-0.82,-0.48,-0.6,-3.63
CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,-4.195,-7.647,-6.17,-5.459,-0.58,-0.64,-0.42,-1.47
CC(C)(O)CC(O)CNCCOC1=CC=C(Cl)C=C1Cl,-3.69,-7.365,-6.586,-4.717,-1.1,-1.1,-1.06,-2.96
CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,-6.19,-9.61,-8.151,-5.498,-0.4,-1.47,-0.98,-2.21
CC(C)=C[C@H]1[C@@H](C(=O)OCc2ccc(C)c([N+](=O)[O-])c2)C1(C)C,-4.195,-8.319,-6.919,-5.568,-1.57,-1.0,-0.4,-1.7
CC(C)CC(=O)NC(=S)Nc1ccc(Cl)c(Cl)c1,-3.686,-7.725,-5.937,-4.629,-1.94,-0.85,-0.94,-3.92
CC(C)CCC[C@H](C)NC(=O)c1c(N)n(CCc2ccccc2)c2nc3ccccc3nc12,-4.981,-9.837,-8.884,-5.967,-1.89,-1.49,-1.26,-2.87
CC(C)CCC[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](OCCO)CC[C@]4(C)[C@H]3CC[C@]12C,-5.345,-11.51,-8.234,-5.116,-2.92,-1.01,-0.9,-1.69
CC(C)CN(C)c1ccc2cc[nH]c2c1,-3.986,-7.034,-5.449,-4.324,-1.97,-0.71,-0.32,-3.58
CC(C)CN=C(N)NC1=CC=CC(O)=C1,-3.754,-7.341,-5.903,-4.532,-1.07,-2.23,-0.69,-2.88
CC(C)N(C)CCCNCC1=CC=C(C2=CC=CC(Cl)=C2)O1,-4.282,-8.429,-7.594,-5.071,-1.19,-0.97,-0.77,-3.68
CC(C)OCCC(O)COC1=CC=CC=C1C(=O)NC1=CC=CC=C1,-4.368,-8.78,-7.501,-5.53,-1.15,-1.66,-0.96,-3.41
CC(C)OCc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,-4.489,-9.954,-6.963,-5.539,-0.83,-0.87,-0.91,-1.54
CC(C)Oc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12,-4.71,-9.683,-7.146,-5.511,-1.5,-0.9,-0.63,-0.97
CC(C)[C@H](NC(N)=O)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.98,-7.166,-6.377,-4.644,-1.56,-1.35,-1.01,-3.3
CC(C)c1ccc2[nH]c(-c3ccc(N)cc3)nc2c1,-4.26,-8.682,-6.674,-4.802,-0.99,-0.59,-0.48,-1.15
CC(C=CN=C=N)=CC=CNC(CCl)=Nc1ccccc1CNCCO,-4.386,-8.798,-7.532,-5.093,-0.52,-1.88,-0.86,-2.54
CC(CCl)=C(Cl)N=C(NCCO)c1ccccc1,-3.992,-6.851,-6.134,-4.758,-1.58,-1.39,-1.53,-0.78
CC(CCl)CN1C=NC=CC=CC=C2CN1OCCN2,-4.337,-7.371,-6.384,-4.766,-1.0,-0.79,-0.82,-1.16
CC(CF)=NC#N,-2.53,-3.715,-3.476,-3.437,-0.8,-0.84,-0.19,-1.04
CC(Cl)=CC=CNC1(N[S-])C(=C[O-])CC1NCCO,-3.542,-7.515,-5.494,-5.27,-0.34,-1.25,-0.58,-2.06
CC(Cl)=CCNOC(N=CBr)=NC[O+],-3.433,-6.413,-5.358,-3.989,-1.32,-1.31,-0.88,-2.03
CC(Cl)C(Cl)=CCC1=NC2C=CC(N)=C2C(NCCO)=N1,-4.315,-8.455,-6.991,-4.706,-1.49,-1.29,-0.83,-3.24
CC(NCC1=CC=CC(C(F)(F)F)=C1)C1=CC=CC(F)=C1,-4.273,-8.211,-6.628,-5.888,-1.39,-1.46,-0.76,-4.13
CC(NCC1=CC=CC(O)=C1Cl)C1=CC=C(Cl)C=C1,-4.243,-7.341,-6.066,-4.88,-1.77,-1.1,-1.3,-2.11
CC(NCC1=CC=CC(O)=C1Cl)C1=CC=CC=C1,-4.504,-7.66,-6.314,-4.884,-1.11,-1.23,-0.79,-1.68
CC/C=C(/C)C(=O)N(CC)Cc1c[nH]c2ccccc12,-4.335,-7.42,-6.182,-4.614,-2.19,-1.16,-1.38,-1.69
CC1(C(=O)OCC2=CC=C(F)C(F)=C2F)CC1(Cl)Cl,-4.227,-7.196,-6.547,-5.32,-1.86,-0.55,-0.57,-3.12
CC1(C)C(C(=O)OCC2=CC=C(OC(F)F)C(F)=C2)C1(F)F,-4.801,-9.393,-7.306,-5.463,-3.16,-1.1,-0.72,-0.81
CC1(C)CC(=O)C2=C(C1)N(c1cccc(F)c1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(Br)cc1,-4.708,-6.742,-8.763,-6.15,-1.37,-2.02,-1.31,-1.71
CC1(Cl)C(N)=CC=C1c1nc(NCCO)c2ccccc2n1,-5.199,-8.941,-7.278,-5.364,-1.27,-2.0,-0.46,-0.78
CC1(Cl)C(N)=CC=CNC1(N)N=C(CCO)C1=CC=C1,-4.442,-7.442,-6.427,-4.674,-1.5,-1.03,-0.76,-2.21
CC12CCC=C1C(CO)NC=NCNC=CC=C2Cl,-3.933,-7.293,-6.252,-4.944,-1.92,-1.57,-1.11,-1.77
CC1=C(C2=CC=CC=C2)N=C(NC(=O)CS(=O)(=O)C2=CC=C(Br)C=C2)S1,-4.701,-9.711,-8.454,-5.323,-1.55,-1.78,-1.08,-1.37
CC1=C=NN=C(Nc2ccc(Cl)c(Cl)c2)N=C(NCCO)C=CC1,-4.188,-8.653,-7.416,-5.696,-2.72,-1.93,-1.28,-3.04
CC1=C=PC=C2C(NCCO)=NC(Nc3ccc(Cl)c(Cl)c3)=NC12,-4.113,-8.206,-7.229,-5.111,-1.85,-1.39,-1.22,-1.25
CC1=CC(F)=CC=C1C1=CC=C(CNCCCCN(C)C)O1,-4.023,-9.974,-7.245,-5.341,-1.15,-1.16,-0.81,-3.44
CC1=CC(O)=CC=C1C(=O)C=CC1=CC=C(O)C(Br)=C1,-4.437,-8.076,-7.326,-5.275,-1.19,-0.92,-0.58,-0.9
CC1=CC=C(C(=O)C=CC2=CC=C(O)C(F)=C2)C=C1C,-5.002,-8.557,-6.796,-5.163,-1.02,-0.66,-0.67,-1.18
CC1=CC=C(F)C(CN[C@@H]2CCCC[C@@H]2O)=C1,-3.999,-8.691,-5.916,-4.68,-1.92,-0.73,-0.86,-2.0
CC1=CC=CC(C(=O)C=CC2=CC=CC(O)=C2)=C1,-4.654,-7.976,-6.701,-4.78,-1.62,-1.38,-0.72,-1.7
CC1=CC=CC(CNC[C@@H](O)C2=CC=CC=C2)=C1,-3.758,-8.536,-6.357,-4.464,-1.9,-1.62,-1.92,-2.11
CC1=CCC2(CC=C(Cl)C(Cl)=CC2)N=C1NCON,-3.905,-7.839,-6.436,-6.4,,-0.94,-0.53,-1.91
CC1=CCN(c2nc(CO)c3c(n2)=C=3)C(Cl)C1Cl,-3.845,-7.833,-6.351,-4.676,-1.62,-0.44,-0.52,-0.74
CC1=CCN=Nc2ccccc2C(=N)C=C=C1Cl,-4.084,-7.955,-6.499,-5.035,-1.45,-0.92,-0.48,-1.67
CC1=NC(N)=NC=C1C1=CC=C(Cl)C=C1F,-4.383,-7.483,-6.001,-5.509,-0.86,-0.86,-0.28,-3.14
CC1=NC2=NC3C(=C=C3OCC1)NC=C(Cl)C(Cl)=C2,-4.426,-7.561,-5.883,-5.105,-0.61,-0.92,-1.18,-1.92
CC1=Nc2ccccc2C(NCCO)=NCC=C(Cl)C1Cl,-4.237,-7.849,-6.405,-5.156,-1.67,-1.04,-0.81,-1.68
CC1=Nc2ccccc2C(NCCO)=NO1,-4.069,-7.161,-5.636,-5.019,-0.2,-0.84,-1.44,-1.45
CC1C(Cl)=CC(c2nc(NCCO)c3ccccc3n2)=C1N,-4.597,-9.122,-6.86,-5.116,-0.65,-2.16,-0.79,-1.0
CC1C=CC2CC(=NCNC3=[PH]=C(Cl)C(Cl)C3=N2)NCCO1,-3.95,-7.291,-6.53,-4.906,-0.43,-1.45,-1.42,-1.86
CC1C=CC=CC2N=CN=CCCCCOCC(C=C=CNCCO2)C=C1,-4.643,-7.1,-6.806,-5.131,-1.54,-1.48,-1.2,-1.93
CC1CC=CC=CNC2C=CC=CC1=NCNC(CN(Cl)CCCl)CC=C2,-4.531,-8.816,-7.424,-5.491,-1.59,-1.73,-1.38,-1.81
CC1N=CCCOc2ccccc2N1,-4.106,-6.271,-4.992,-4.485,-1.34,-0.88,-0.61,-3.53
CC1O[P+]C(N2C=CC=CC2(Cl)Cl)=Nc2ccncc21,-3.985,-7.068,-5.953,-4.992,-1.05,-1.47,-0.61,-0.98
CC=C(C)C1=CC=CC=C1N,-3.397,-6.164,-4.749,-4.36,-1.24,-0.83,-0.65,-3.18
CC=C(Cl)C(Cl)=CC=Nc1nc(NCCO)c2c(n1)=CC=2,-3.804,-7.286,-6.728,-5.07,-2.47,-0.96,-0.81,-1.17
CC=C=C1C(Cl)=NC2CCONC1C2,-3.87,-6.404,-5.244,-4.271,-0.55,-1.88,-1.11,-0.67
CC=C=C=CNC=CN=CCCNCCONC(C=CC=CC#Cc1ccc(Cl)c(Cl)c1)=NCC,-4.898,-9.754,-8.2,-5.874,-1.63,-1.53,-2.01,-1.68
CC=CC(Cl)=CCNC1=Nc2ccccc2CN(CCO)N1,-4.359,-8.561,-6.909,-5.62,-2.1,-1.2,-1.6,-1.38
CC=CC(Cl)C(C)=CC=CN1CC=CC(C)=C=NC2CC(NCCO)=NC1=N2,-4.712,-10.47,-7.935,-4.77,-1.18,-1.81,-1.0,-2.25
CC=CC1=NNC2=C(C=C3NN=C=CN3CCC2)C(=CC)C(NCO)=C(Cl)C1Cl,-4.391,-7.851,-7.498,-5.218,,-1.36,-1.27,-1.86
CC=CC1CC(NCCO)=NC(N2C=C(C)C(Cl)=CC2)=N1,-4.286,-8.992,-6.455,-5.483,-0.26,-0.83,-0.53,-1.11
CC=CC1CC(NCCO)=NC(Nc2ccc(C)c(Cl)c2)=N1,-3.827,-8.631,-6.933,-5.481,-0.83,-1.14,-0.98,-1.15
CC=CC=C1C(C=C(Cl)CCl)=C2C(=NC)C2N=CCC2COC12NCCO,-4.821,-7.22,-7.742,-5.036,-1.54,-1.42,-1.64,-1.59
CC=CC=C=[O+]CCl,-2.941,-4.198,-3.802,-3.313,-0.41,-1.23,-0.41,-1.2
CC=CC=CC=CN=CN=C(C)NCCO,-3.377,-7.607,-5.74,-4.34,-1.11,-1.43,-1.33,-2.38
CC=CC=CN=C(Cl)Nc1ccc(Cl)c(S)c1,-3.709,-7.137,-5.897,-4.319,-1.14,-1.2,-0.72,-1.59
CC=CCC(=O)NCC(C)CC,-3.318,-5.639,-4.716,-4.082,-0.66,-1.23,-0.68,-3.22
CC=CCNC1C2=CC(C2)N=C1Nc1ccc(Cl)c(N)c1,-4.26,-7.602,-7.09,-4.966,-1.45,-1.41,-1.28,-1.15
CC=CCc1cc(Cl)c(Cl)cc1NC(C=C1C#CN=CN1)CCNCCO,-3.957,-8.951,-7.832,-5.057,-1.51,-1.56,-1.24,-2.11
CC=CN=C1CC(Cl)C2(COC2Cl)C(C)=CCN1,-4.114,-7.092,-5.636,-4.287,-1.94,-1.53,-0.79,-3.32
CC=CN=CC(CN=C=N)OCCCCC,-3.944,-6.604,-5.436,-4.138,-1.34,-1.39,-1.36,-1.95
CC=CNC(Cl)C=CCCl,-2.752,-5.646,-4.089,-4.362,-0.77,-1.87,-0.59,-1.34
CC=S=CC=C1N=C(Nc2ccc([S+])c(Cl)c2)N=C1NCCO,-4.199,-8.828,-6.788,-4.464,-1.08,-1.62,-1.38,-2.29
CCC#C[C@@H](C)Oc1cccc(O)c1C(C)=O,-3.953,-7.015,-6.344,-4.776,-0.86,-1.23,-0.85,-1.77
CCC(=O)Oc1ccc2ccc(=O)oc2c1,-4.398,-7.47,-5.77,-4.438,-0.77,-0.55,-0.47,-0.13
CCC(C)OC1=CC=CC(NC(=O)CN2C(=O)NC3=CC=CC=C3C2=O)=C1,-4.877,-10.24,-8.365,-6.072,-0.91,-1.44,-1.51,-2.43
CCC(C)S(=O)OC1=CC=C(NC(=O)C2=CC=CS2)C=C1,-4.153,-7.814,-6.06,-4.452,-1.81,-0.83,-0.86,-1.98
CCC(Cl)=CC=CNc1nc(NCCO)c2c(n1)=COCC=2,-4.167,-8.219,-6.909,-4.841,-1.04,-1.33,-1.31,-2.47
CCC(N)CNC(C1=CC=C(Cl)C=C1)C1=CC=CC=C1F,-4.399,-7.864,-6.825,-5.558,-1.27,-1.38,-1.26,-1.76
CCC(O)(CC)CNC(C1=CC=C(F)C=C1)C1=CC=C(OC)C=C1,-4.295,-8.008,-7.384,-5.831,-1.44,-1.78,-1.14,-1.27
CCC=CC1=CC(O)=CC=C1,-3.801,-6.134,-5.188,-4.504,-0.68,-0.72,-0.07,-1.81
CCC=CN=C(C=CC=C=C1N=NC(C=CCl)CCCCC=NC1Cl)NCCO,-5.087,-9.113,-7.615,-5.734,-1.24,-1.35,-1.29,-1.31
CCC=NC=CC#CCC(=NCC=CC=CCNCCON)c1ccc(Cl)c(Cl)c1,-4.772,-8.732,-7.887,-6.093,-2.09,-1.69,-0.96,-2.36
CCCC(CCC)C(=O)OC1=CC=C(NC(=O)C2=CC=CO2)C=C1,-4.396,-8.674,-6.898,-4.613,-1.13,-1.62,-0.89,-1.0
CCCC1CC=CN=Cc2cccc1c2N=CNC1=CCC(Cl)=C1,-4.901,-8.266,-7.214,-5.448,,,,
CCCC1c2ccccc2N=CNCCCC=NC=C=NN1CCO,-4.455,-7.228,-6.862,-5.123,-1.04,-1.64,-1.35,-2.26
CCCCC#N,-2.393,-3.556,-3.374,-3.251,-0.69,-1.32,-0.08,-0.63
CCCCCN1C=C=NC=CC2=C(Cl)N3CC=CC=C3C(=N2)NCCOC1,-4.542,-9.263,-7.654,-5.043,-0.6,-1.16,-0.9,-2.87
CCCCN(C)S(=O)(=O)c1cccc(NC(=O)c2ccco2)c1,-4.107,-8.354,-6.62,-5.386,-2.4,-1.27,-0.59,-1.22
CCCCNCCOC=C=C=C(NCC=CC=NC#CC=CCNCCO)Nc1ccc(Cl)c(Cl)c1,-4.626,-2.828,-7.786,-5.95,-1.28,-1.65,-1.74,-2.87
CCCC[N@H+](C)Cc1c(C)[nH]c2ccc(OCC)cc2c1=O,-4.059,-8.366,-6.589,-4.988,-1.61,-2.68,-1.83,-0.98
CCCCc1c([O-])[nH]c2ccc(OC)cc2c1=O,-4.597,-7.759,-6.057,-4.639,-1.92,-1.0,-0.36,-2.25
CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,-4.46,-7.876,-7.139,-4.648,-0.65,-1.51,-0.61,-1.29
CCCNC=CC=CC#COOc1ccccc1N=C(CNC=CC=C=C=N)NC=CC=C(Cl)OCCNC,-4.255,-9.019,-9.059,-5.797,-2.63,-1.74,-1.57,-2.96
CCCNc1nc(N2C3=CC=C(CCl)N(CCCC3)OC2Cl)nc2ccccc12,-4.712,-8.975,-7.74,-5.433,-1.54,-1.68,-1.71,-1.3
CCCOC(=O)C=CC1=CC=C(CC)C=C1,-3.675,-7.934,-5.83,-5.182,-1.84,-0.61,-0.63,-0.93
CCCOC(=O)c1cc(O)c2ccccc2c1O,-4.031,-8.158,-6.133,-4.728,-0.79,-0.79,-1.02,-1.91
CCCOCC(=O)NC1=NN=C(CC2=CC=C(OC)C=C2)S1,-4.105,-8.569,-7.006,-4.948,-2.14,-1.57,-0.77,-3.3
CCCOC[C@@H](C)Oc1c(C(C)=O)cc(OC)c2ccccc21,-4.309,-8.867,-6.862,-5.3,-0.74,-0.97,-1.37,-1.66
CCCOc1ccc(C(=O)Nc2cc(C)on2)c(OC)c1,-3.888,-8.237,-6.47,-4.493,-1.4,-0.92,-0.58,-1.06
CCCOc1ccc(C(=O)Nc2nonc2-c2ccc(OC)c(C)c2)cc1,-5.004,-9.45,-7.619,-5.925,-1.72,-0.74,-0.68,-2.2
CCC[C@@H](C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-4.121,-7.631,-6.826,-5.233,-0.64,-1.45,-0.75,-1.77
CCCn1c2ccccc2n(C[C@@H](O)COc2ccc(Cl)cc2Cl)c1=N,-4.714,-8.847,-7.634,-5.551,-2.13,-1.22,-1.47,-1.69
CCN(CC)c1ccc(N)cc1NC(=O)c1cccc(Cl)c1,-4.475,-7.272,-6.877,-5.42,-1.76,-0.76,-1.35,-3.02
CCN(CCC#N)CC(=O)NC1=CC=CC=C1C(=O)NC1=CC=CC=C1,-4.389,-8.418,-7.445,-5.138,-2.35,-1.53,-0.64,-3.37
CCN1C(SCC(=O)NC2=CC(Cl)=CC=C2Cl)=NC2=CC=C(F)C=C2C1=O,-4.487,-7.641,-7.325,-5.689,-2.31,-1.72,-1.58,-1.15
