Target,Mol_Index,Confidence,Category
4GM2,53,-0.53,Moderate (-1.5 to 0)
7F3Y,105,-0.4,Moderate (-1.5 to 0)
9N10,251,-1.13,Moderate (-1.5 to 0)
9N10,178,-1.37,Moderate (-1.5 to 0)
6UKJ,431,-1.1,Moderate (-1.5 to 0)
9N10,106,-0.99,Moderate (-1.5 to 0)
4GM2,259,-2.03,Low (<-1.5)
4GM2,394,-0.58,Moderate (-1.5 to 0)
6UKJ,154,-0.6,Moderate (-1.5 to 0)
7F3Y,450,-0.4,Moderate (-1.5 to 0)
6UKJ,453,-1.12,Moderate (-1.5 to 0)
7F3Y,12,-1.29,Moderate (-1.5 to 0)
9N10,419,-2.11,Low (<-1.5)
9N10,272,-2.23,Low (<-1.5)
9N10,273,-1.81,Low (<-1.5)
7F3Y,63,-0.66,Moderate (-1.5 to 0)
6UKJ,416,-1.11,Moderate (-1.5 to 0)
9N10,222,-1.38,Moderate (-1.5 to 0)
6UKJ,340,-1.74,Low (<-1.5)
9N10,471,-1.92,Low (<-1.5)
6UKJ,424,-2.46,Low (<-1.5)
7F3Y,425,-1.15,Moderate (-1.5 to 0)
7F3Y,164,-0.98,Moderate (-1.5 to 0)
9N10,93,-1.4,Moderate (-1.5 to 0)
9N10,259,-1.77,Low (<-1.5)
7F3Y,368,-1.2,Moderate (-1.5 to 0)
7F3Y,177,-0.79,Moderate (-1.5 to 0)
9N10,369,-2.08,Low (<-1.5)
9N10,142,-0.55,Moderate (-1.5 to 0)
7F3Y,460,-0.86,Moderate (-1.5 to 0)
7F3Y,318,-0.95,Moderate (-1.5 to 0)
9N10,306,-1.0,Moderate (-1.5 to 0)
6UKJ,129,-0.57,Moderate (-1.5 to 0)
7F3Y,367,-0.94,Moderate (-1.5 to 0)
7F3Y,383,-0.95,Moderate (-1.5 to 0)
7F3Y,163,-0.43,Moderate (-1.5 to 0)
9N10,194,-3.83,Low (<-1.5)
6UKJ,174,-1.69,Low (<-1.5)
7F3Y,91,-1.25,Moderate (-1.5 to 0)
6UKJ,356,-1.53,Low (<-1.5)
6UKJ,179,-0.83,Moderate (-1.5 to 0)
7F3Y,15,-0.47,Moderate (-1.5 to 0)
6UKJ,3,-1.93,Low (<-1.5)
7F3Y,117,-0.77,Moderate (-1.5 to 0)
6UKJ,428,-1.5,Low (<-1.5)
6UKJ,369,-1.3,Moderate (-1.5 to 0)
4GM2,341,-0.85,Moderate (-1.5 to 0)
4GM2,67,-1.65,Low (<-1.5)
6UKJ,193,-0.92,Moderate (-1.5 to 0)
6UKJ,385,-0.72,Moderate (-1.5 to 0)
9N10,132,-1.66,Low (<-1.5)
7F3Y,347,-0.58,Moderate (-1.5 to 0)
9N10,7,-2.52,Low (<-1.5)
6UKJ,220,-0.94,Moderate (-1.5 to 0)
6UKJ,407,-1.03,Moderate (-1.5 to 0)
4GM2,391,-0.8,Moderate (-1.5 to 0)
7F3Y,442,-0.76,Moderate (-1.5 to 0)
9N10,170,-3.26,Low (<-1.5)
4GM2,417,-1.19,Moderate (-1.5 to 0)
6UKJ,141,-0.73,Moderate (-1.5 to 0)
9N10,301,-1.53,Low (<-1.5)
7F3Y,471,-1.29,Moderate (-1.5 to 0)
4GM2,431,-1.41,Moderate (-1.5 to 0)
4GM2,462,-1.08,Moderate (-1.5 to 0)
7F3Y,287,-1.29,Moderate (-1.5 to 0)
7F3Y,168,-0.58,Moderate (-1.5 to 0)
6UKJ,140,-1.36,Moderate (-1.5 to 0)
9N10,212,-2.72,Low (<-1.5)
9N10,57,-1.78,Low (<-1.5)
6UKJ,183,-1.62,Low (<-1.5)
4GM2,30,-1.63,Low (<-1.5)
9N10,38,-2.83,Low (<-1.5)
7F3Y,107,-1.5,Low (<-1.5)
6UKJ,199,-0.91,Moderate (-1.5 to 0)
6UKJ,233,-1.23,Moderate (-1.5 to 0)
4GM2,200,-3.16,Low (<-1.5)
9N10,244,-3.2,Low (<-1.5)
4GM2,281,-1.08,Moderate (-1.5 to 0)
4GM2,291,-1.24,Moderate (-1.5 to 0)
4GM2,264,-2.2,Low (<-1.5)
7F3Y,369,-0.97,Moderate (-1.5 to 0)
4GM2,321,-2.47,Low (<-1.5)
9N10,145,-2.87,Low (<-1.5)
7F3Y,463,-0.15,Moderate (-1.5 to 0)
4GM2,386,-1.63,Low (<-1.5)
4GM2,324,-0.98,Moderate (-1.5 to 0)
4GM2,196,-1.58,Low (<-1.5)
9N10,382,-1.35,Moderate (-1.5 to 0)
9N10,345,-1.82,Low (<-1.5)
4GM2,111,-1.25,Moderate (-1.5 to 0)
4GM2,276,-1.09,Moderate (-1.5 to 0)
7F3Y,350,-1.64,Low (<-1.5)
9N10,452,-1.69,Low (<-1.5)
7F3Y,128,-0.47,Moderate (-1.5 to 0)
6UKJ,8,-0.85,Moderate (-1.5 to 0)
7F3Y,36,-1.46,Moderate (-1.5 to 0)
6UKJ,469,-1.53,Low (<-1.5)
4GM2,400,-0.41,Moderate (-1.5 to 0)
9N10,280,-3.1,Low (<-1.5)
6UKJ,58,-0.97,Moderate (-1.5 to 0)
9N10,396,-2.21,Low (<-1.5)
9N10,2,-2.2,Low (<-1.5)
6UKJ,451,-1.52,Low (<-1.5)
7F3Y,223,-0.44,Moderate (-1.5 to 0)
6UKJ,39,-2.68,Low (<-1.5)
7F3Y,103,-0.69,Moderate (-1.5 to 0)
7F3Y,396,-1.02,Moderate (-1.5 to 0)
6UKJ,61,-2.42,Low (<-1.5)
7F3Y,308,-0.6,Moderate (-1.5 to 0)
9N10,364,-1.24,Moderate (-1.5 to 0)
4GM2,287,-0.51,Moderate (-1.5 to 0)
9N10,144,-1.67,Low (<-1.5)
6UKJ,420,-3.0,Low (<-1.5)
7F3Y,120,-1.41,Moderate (-1.5 to 0)
7F3Y,375,-1.57,Low (<-1.5)
9N10,404,-1.46,Moderate (-1.5 to 0)
6UKJ,223,-0.64,Moderate (-1.5 to 0)
4GM2,202,-2.54,Low (<-1.5)
7F3Y,254,-1.44,Moderate (-1.5 to 0)
7F3Y,189,,Missing
6UKJ,41,-1.3,Moderate (-1.5 to 0)
6UKJ,289,-1.04,Moderate (-1.5 to 0)
7F3Y,87,-0.4,Moderate (-1.5 to 0)
7F3Y,389,-0.49,Moderate (-1.5 to 0)
9N10,37,-2.2,Low (<-1.5)
6UKJ,318,-0.89,Moderate (-1.5 to 0)
6UKJ,249,-2.23,Low (<-1.5)
7F3Y,307,-0.61,Moderate (-1.5 to 0)
7F3Y,216,-1.36,Moderate (-1.5 to 0)
9N10,208,-0.97,Moderate (-1.5 to 0)
6UKJ,388,-0.67,Moderate (-1.5 to 0)
4GM2,309,-2.72,Low (<-1.5)
9N10,216,-1.27,Moderate (-1.5 to 0)
7F3Y,372,-1.4,Moderate (-1.5 to 0)
7F3Y,412,-1.18,Moderate (-1.5 to 0)
7F3Y,385,-0.07,Moderate (-1.5 to 0)
6UKJ,360,-1.48,Moderate (-1.5 to 0)
6UKJ,24,-1.02,Moderate (-1.5 to 0)
6UKJ,361,-1.23,Moderate (-1.5 to 0)
4GM2,435,-1.49,Moderate (-1.5 to 0)
7F3Y,310,-0.76,Moderate (-1.5 to 0)
9N10,274,-1.88,Low (<-1.5)
4GM2,234,-0.5,Moderate (-1.5 to 0)
6UKJ,181,-1.23,Moderate (-1.5 to 0)
6UKJ,205,-1.49,Moderate (-1.5 to 0)
4GM2,252,-1.21,Moderate (-1.5 to 0)
7F3Y,83,-0.87,Moderate (-1.5 to 0)
6UKJ,336,-0.77,Moderate (-1.5 to 0)
7F3Y,183,-0.89,Moderate (-1.5 to 0)
9N10,210,-1.74,Low (<-1.5)
4GM2,130,-1.28,Moderate (-1.5 to 0)
4GM2,48,-1.74,Low (<-1.5)
7F3Y,188,-0.65,Moderate (-1.5 to 0)
6UKJ,362,-0.88,Moderate (-1.5 to 0)
6UKJ,393,-1.26,Moderate (-1.5 to 0)
4GM2,404,-1.18,Moderate (-1.5 to 0)
7F3Y,390,-0.5,Moderate (-1.5 to 0)
7F3Y,140,-1.27,Moderate (-1.5 to 0)
4GM2,136,-1.35,Moderate (-1.5 to 0)
7F3Y,432,-0.94,Moderate (-1.5 to 0)
4GM2,378,-0.8,Moderate (-1.5 to 0)
7F3Y,162,-1.35,Moderate (-1.5 to 0)
6UKJ,115,-1.89,Low (<-1.5)
6UKJ,413,-0.71,Moderate (-1.5 to 0)
4GM2,52,-2.24,Low (<-1.5)
6UKJ,276,-2.14,Low (<-1.5)
7F3Y,329,-1.14,Moderate (-1.5 to 0)
9N10,271,-1.21,Moderate (-1.5 to 0)
7F3Y,420,-1.23,Moderate (-1.5 to 0)
9N10,154,-1.22,Moderate (-1.5 to 0)
7F3Y,278,-0.85,Moderate (-1.5 to 0)
9N10,365,-1.2,Moderate (-1.5 to 0)
4GM2,458,-0.99,Moderate (-1.5 to 0)
6UKJ,281,-1.27,Moderate (-1.5 to 0)
9N10,126,-2.81,Low (<-1.5)
7F3Y,13,-0.96,Moderate (-1.5 to 0)
6UKJ,157,-1.61,Low (<-1.5)
7F3Y,214,-0.42,Moderate (-1.5 to 0)
9N10,92,-1.06,Moderate (-1.5 to 0)
4GM2,311,-1.37,Moderate (-1.5 to 0)
9N10,257,-2.25,Low (<-1.5)
9N10,182,-2.85,Low (<-1.5)
9N10,156,-1.68,Low (<-1.5)
7F3Y,230,-0.75,Moderate (-1.5 to 0)
6UKJ,6,-1.1,Moderate (-1.5 to 0)
9N10,19,-1.98,Low (<-1.5)
7F3Y,104,-1.51,Low (<-1.5)
7F3Y,407,-1.71,Low (<-1.5)
4GM2,205,-1.39,Moderate (-1.5 to 0)
7F3Y,255,-0.73,Moderate (-1.5 to 0)
4GM2,144,-1.45,Moderate (-1.5 to 0)
6UKJ,394,-0.64,Moderate (-1.5 to 0)
6UKJ,215,-1.9,Low (<-1.5)
9N10,455,-1.37,Moderate (-1.5 to 0)
9N10,256,-1.86,Low (<-1.5)
9N10,17,-1.83,Low (<-1.5)
6UKJ,282,-1.8,Low (<-1.5)
9N10,303,-2.17,Low (<-1.5)
6UKJ,198,-1.91,Low (<-1.5)
4GM2,5,-1.04,Moderate (-1.5 to 0)
7F3Y,144,-0.48,Moderate (-1.5 to 0)
4GM2,121,-0.64,Moderate (-1.5 to 0)
7F3Y,84,-0.94,Moderate (-1.5 to 0)
9N10,44,-2.07,Low (<-1.5)
9N10,466,-2.22,Low (<-1.5)
7F3Y,197,-1.25,Moderate (-1.5 to 0)
6UKJ,108,-1.33,Moderate (-1.5 to 0)
4GM2,103,-2.04,Low (<-1.5)
4GM2,349,-2.52,Low (<-1.5)
4GM2,279,-1.57,Low (<-1.5)
6UKJ,54,-1.62,Low (<-1.5)
6UKJ,291,-0.96,Moderate (-1.5 to 0)
7F3Y,31,-1.25,Moderate (-1.5 to 0)
6UKJ,158,-1.13,Moderate (-1.5 to 0)
9N10,472,-1.15,Moderate (-1.5 to 0)
7F3Y,333,-0.52,Moderate (-1.5 to 0)
4GM2,163,-0.85,Moderate (-1.5 to 0)
6UKJ,56,-1.44,Moderate (-1.5 to 0)
4GM2,93,-2.3,Low (<-1.5)
6UKJ,260,-1.7,Low (<-1.5)
6UKJ,306,-1.24,Moderate (-1.5 to 0)
6UKJ,77,-0.75,Moderate (-1.5 to 0)
7F3Y,273,-1.38,Moderate (-1.5 to 0)
4GM2,238,-1.08,Moderate (-1.5 to 0)
6UKJ,102,-1.79,Low (<-1.5)
7F3Y,208,-1.62,Low (<-1.5)
4GM2,336,-1.09,Moderate (-1.5 to 0)
7F3Y,281,-1.01,Moderate (-1.5 to 0)
6UKJ,323,-1.13,Moderate (-1.5 to 0)
6UKJ,218,-0.92,Moderate (-1.5 to 0)
9N10,349,-1.59,Low (<-1.5)
4GM2,37,-1.82,Low (<-1.5)
4GM2,72,-1.14,Moderate (-1.5 to 0)
4GM2,18,-0.51,Moderate (-1.5 to 0)
9N10,325,-1.54,Low (<-1.5)
9N10,368,-2.34,Low (<-1.5)
7F3Y,147,-1.36,Moderate (-1.5 to 0)
7F3Y,469,-0.71,Moderate (-1.5 to 0)
7F3Y,279,-0.54,Moderate (-1.5 to 0)
9N10,108,-1.39,Moderate (-1.5 to 0)
7F3Y,29,-0.59,Moderate (-1.5 to 0)
7F3Y,176,-1.57,Low (<-1.5)
4GM2,359,-1.82,Low (<-1.5)
7F3Y,455,-1.08,Moderate (-1.5 to 0)
6UKJ,55,-2.23,Low (<-1.5)
7F3Y,392,-1.58,Low (<-1.5)
4GM2,162,-1.04,Moderate (-1.5 to 0)
6UKJ,22,-0.6,Moderate (-1.5 to 0)
6UKJ,347,-0.92,Moderate (-1.5 to 0)
6UKJ,467,-0.9,Moderate (-1.5 to 0)
9N10,394,-1.47,Moderate (-1.5 to 0)
7F3Y,387,-0.76,Moderate (-1.5 to 0)
9N10,77,-0.08,Moderate (-1.5 to 0)
6UKJ,364,-2.43,Low (<-1.5)
4GM2,38,-0.82,Moderate (-1.5 to 0)
7F3Y,42,-1.75,Low (<-1.5)
7F3Y,112,-0.83,Moderate (-1.5 to 0)
7F3Y,365,-1.92,Low (<-1.5)
6UKJ,113,-0.89,Moderate (-1.5 to 0)
7F3Y,316,-1.1,Moderate (-1.5 to 0)
9N10,265,-2.4,Low (<-1.5)
4GM2,26,-1.41,Moderate (-1.5 to 0)
4GM2,305,-1.06,Moderate (-1.5 to 0)
9N10,311,-1.71,Low (<-1.5)
6UKJ,178,-1.69,Low (<-1.5)
9N10,285,-3.3,Low (<-1.5)
6UKJ,341,-1.72,Low (<-1.5)
7F3Y,37,-1.12,Moderate (-1.5 to 0)
9N10,310,-1.72,Low (<-1.5)
7F3Y,193,-1.48,Moderate (-1.5 to 0)
6UKJ,18,-0.65,Moderate (-1.5 to 0)
4GM2,470,-2.45,Low (<-1.5)
9N10,344,-2.14,Low (<-1.5)
6UKJ,82,-1.1,Moderate (-1.5 to 0)
6UKJ,459,-0.86,Moderate (-1.5 to 0)
6UKJ,94,-0.73,Moderate (-1.5 to 0)
6UKJ,20,-1.34,Moderate (-1.5 to 0)
4GM2,68,-1.34,Moderate (-1.5 to 0)
6UKJ,435,-1.49,Moderate (-1.5 to 0)
6UKJ,302,-1.49,Moderate (-1.5 to 0)
6UKJ,471,-1.17,Moderate (-1.5 to 0)
9N10,366,-2.54,Low (<-1.5)
7F3Y,427,-0.45,Moderate (-1.5 to 0)
9N10,372,-2.13,Low (<-1.5)
4GM2,106,-0.82,Moderate (-1.5 to 0)
4GM2,275,-0.69,Moderate (-1.5 to 0)
6UKJ,443,-1.1,Moderate (-1.5 to 0)
4GM2,17,-0.89,Moderate (-1.5 to 0)
4GM2,312,-1.75,Low (<-1.5)
4GM2,360,-2.59,Low (<-1.5)
7F3Y,65,-0.63,Moderate (-1.5 to 0)
4GM2,46,-2.19,Low (<-1.5)
6UKJ,308,-0.48,Moderate (-1.5 to 0)
6UKJ,422,-1.81,Low (<-1.5)
9N10,129,-2.1,Low (<-1.5)
9N10,359,-0.93,Moderate (-1.5 to 0)
6UKJ,232,-1.87,Low (<-1.5)
7F3Y,453,-0.55,Moderate (-1.5 to 0)
7F3Y,114,-0.81,Moderate (-1.5 to 0)
6UKJ,290,-1.97,Low (<-1.5)
4GM2,436,-1.58,Low (<-1.5)
9N10,10,-1.68,Low (<-1.5)
9N10,66,-0.95,Moderate (-1.5 to 0)
7F3Y,334,-0.83,Moderate (-1.5 to 0)
9N10,120,-1.69,Low (<-1.5)
4GM2,274,-1.35,Moderate (-1.5 to 0)
4GM2,248,-1.2,Moderate (-1.5 to 0)
7F3Y,115,-1.18,Moderate (-1.5 to 0)
6UKJ,150,-1.55,Low (<-1.5)
4GM2,283,-2.24,Low (<-1.5)
7F3Y,98,-0.2,Moderate (-1.5 to 0)
9N10,450,-0.55,Moderate (-1.5 to 0)
6UKJ,259,-1.86,Low (<-1.5)
6UKJ,426,-1.42,Moderate (-1.5 to 0)
6UKJ,337,-0.93,Moderate (-1.5 to 0)
4GM2,160,-1.59,Low (<-1.5)
6UKJ,387,-0.85,Moderate (-1.5 to 0)
7F3Y,14,-1.14,Moderate (-1.5 to 0)
4GM2,172,-1.0,Moderate (-1.5 to 0)
4GM2,455,-1.55,Low (<-1.5)
6UKJ,189,,Missing
9N10,95,-2.28,Low (<-1.5)
9N10,33,-0.64,Moderate (-1.5 to 0)
4GM2,89,-1.58,Low (<-1.5)
4GM2,127,-1.45,Moderate (-1.5 to 0)
7F3Y,379,-1.22,Moderate (-1.5 to 0)
7F3Y,88,-1.11,Moderate (-1.5 to 0)
6UKJ,168,-0.92,Moderate (-1.5 to 0)
9N10,199,-1.72,Low (<-1.5)
9N10,16,-1.65,Low (<-1.5)
6UKJ,455,-1.78,Low (<-1.5)
6UKJ,245,-0.55,Moderate (-1.5 to 0)
4GM2,376,-1.51,Low (<-1.5)
7F3Y,445,-0.64,Moderate (-1.5 to 0)
9N10,385,-1.81,Low (<-1.5)
4GM2,357,-1.77,Low (<-1.5)
4GM2,230,-1.2,Moderate (-1.5 to 0)
4GM2,288,-1.42,Moderate (-1.5 to 0)
4GM2,409,-1.5,Low (<-1.5)
6UKJ,171,-2.08,Low (<-1.5)
9N10,253,-2.11,Low (<-1.5)
6UKJ,13,-0.97,Moderate (-1.5 to 0)
6UKJ,139,-1.14,Moderate (-1.5 to 0)
7F3Y,284,-1.23,Moderate (-1.5 to 0)
4GM2,429,-0.75,Moderate (-1.5 to 0)
4GM2,85,-1.4,Moderate (-1.5 to 0)
7F3Y,146,-1.27,Moderate (-1.5 to 0)
6UKJ,210,-1.69,Low (<-1.5)
9N10,469,-1.51,Low (<-1.5)
4GM2,399,-2.81,Low (<-1.5)
6UKJ,270,-1.53,Low (<-1.5)
4GM2,41,-1.36,Moderate (-1.5 to 0)
4GM2,294,-1.52,Low (<-1.5)
7F3Y,181,-0.68,Moderate (-1.5 to 0)
4GM2,28,-1.53,Low (<-1.5)
7F3Y,89,-1.53,Low (<-1.5)
9N10,127,-1.15,Moderate (-1.5 to 0)
4GM2,319,-0.27,Moderate (-1.5 to 0)
6UKJ,132,-1.2,Moderate (-1.5 to 0)
9N10,388,-1.52,Low (<-1.5)
7F3Y,211,-0.58,Moderate (-1.5 to 0)
4GM2,98,-0.25,Moderate (-1.5 to 0)
4GM2,254,-0.2,Moderate (-1.5 to 0)
7F3Y,129,-0.35,Moderate (-1.5 to 0)
7F3Y,331,-1.47,Moderate (-1.5 to 0)
4GM2,337,-0.55,Moderate (-1.5 to 0)
9N10,260,-1.67,Low (<-1.5)
4GM2,316,-2.22,Low (<-1.5)
6UKJ,374,-1.33,Moderate (-1.5 to 0)
7F3Y,206,-0.59,Moderate (-1.5 to 0)
9N10,444,-2.34,Low (<-1.5)
9N10,398,-1.38,Moderate (-1.5 to 0)
4GM2,190,,Missing
7F3Y,235,-0.79,Moderate (-1.5 to 0)
4GM2,3,-1.24,Moderate (-1.5 to 0)
4GM2,267,-1.69,Low (<-1.5)
7F3Y,82,-1.06,Moderate (-1.5 to 0)
7F3Y,339,-0.46,Moderate (-1.5 to 0)
6UKJ,330,-1.46,Moderate (-1.5 to 0)
4GM2,21,-1.98,Low (<-1.5)
6UKJ,103,-2.03,Low (<-1.5)
4GM2,465,-0.31,Moderate (-1.5 to 0)
4GM2,145,-1.28,Moderate (-1.5 to 0)
7F3Y,199,-0.94,Moderate (-1.5 to 0)
6UKJ,474,-0.88,Moderate (-1.5 to 0)
6UKJ,36,-1.59,Low (<-1.5)
9N10,276,-4.06,Low (<-1.5)
4GM2,232,-0.35,Moderate (-1.5 to 0)
6UKJ,191,-0.44,Moderate (-1.5 to 0)
4GM2,457,-2.31,Low (<-1.5)
6UKJ,349,-0.96,Moderate (-1.5 to 0)
4GM2,472,-0.83,Moderate (-1.5 to 0)
7F3Y,461,-0.51,Moderate (-1.5 to 0)
9N10,294,-1.82,Low (<-1.5)
4GM2,358,-1.92,Low (<-1.5)
7F3Y,437,-1.48,Moderate (-1.5 to 0)
9N10,113,-2.07,Low (<-1.5)
6UKJ,275,-1.37,Moderate (-1.5 to 0)
6UKJ,299,-0.86,Moderate (-1.5 to 0)
4GM2,137,-1.67,Low (<-1.5)
9N10,249,-1.47,Moderate (-1.5 to 0)
7F3Y,319,-0.63,Moderate (-1.5 to 0)
7F3Y,451,-0.31,Moderate (-1.5 to 0)
7F3Y,123,-1.99,Low (<-1.5)
9N10,52,-0.93,Moderate (-1.5 to 0)
4GM2,116,-1.69,Low (<-1.5)
6UKJ,350,-1.04,Moderate (-1.5 to 0)
9N10,85,-2.31,Low (<-1.5)
6UKJ,57,-1.42,Moderate (-1.5 to 0)
7F3Y,96,-1.54,Low (<-1.5)
6UKJ,338,-1.87,Low (<-1.5)
7F3Y,366,-0.86,Moderate (-1.5 to 0)
6UKJ,137,-1.04,Moderate (-1.5 to 0)
6UKJ,272,-1.38,Moderate (-1.5 to 0)
9N10,411,-0.85,Moderate (-1.5 to 0)
4GM2,198,-2.18,Low (<-1.5)
4GM2,13,-1.25,Moderate (-1.5 to 0)
6UKJ,379,-1.73,Low (<-1.5)
7F3Y,47,-1.26,Moderate (-1.5 to 0)
4GM2,197,-1.75,Low (<-1.5)
7F3Y,173,-1.74,Low (<-1.5)
4GM2,42,-1.66,Low (<-1.5)
7F3Y,328,-0.95,Moderate (-1.5 to 0)
9N10,25,-3.14,Low (<-1.5)
7F3Y,205,-0.99,Moderate (-1.5 to 0)
6UKJ,131,-1.2,Moderate (-1.5 to 0)
6UKJ,322,-1.03,Moderate (-1.5 to 0)
6UKJ,90,-3.38,Low (<-1.5)
6UKJ,206,-0.96,Moderate (-1.5 to 0)
6UKJ,200,-1.1,Moderate (-1.5 to 0)
4GM2,235,-0.86,Moderate (-1.5 to 0)
4GM2,306,-0.7,Moderate (-1.5 to 0)
6UKJ,92,-0.7,Moderate (-1.5 to 0)
7F3Y,431,-0.46,Moderate (-1.5 to 0)
4GM2,255,-0.6,Moderate (-1.5 to 0)
9N10,281,-2.17,Low (<-1.5)
4GM2,194,-2.35,Low (<-1.5)
6UKJ,449,-1.88,Low (<-1.5)
9N10,358,-2.62,Low (<-1.5)
6UKJ,288,-1.55,Low (<-1.5)
9N10,473,-1.95,Low (<-1.5)
6UKJ,68,-1.32,Moderate (-1.5 to 0)
9N10,161,-1.06,Moderate (-1.5 to 0)
4GM2,368,-1.07,Moderate (-1.5 to 0)
6UKJ,371,-1.47,Moderate (-1.5 to 0)
6UKJ,466,-1.05,Moderate (-1.5 to 0)
9N10,195,-2.09,Low (<-1.5)
9N10,243,-1.72,Low (<-1.5)
4GM2,372,-2.13,Low (<-1.5)
7F3Y,24,-1.22,Moderate (-1.5 to 0)
7F3Y,194,-0.81,Moderate (-1.5 to 0)
7F3Y,229,-0.81,Moderate (-1.5 to 0)
6UKJ,365,-2.24,Low (<-1.5)
7F3Y,201,-0.3,Moderate (-1.5 to 0)
9N10,50,-1.91,Low (<-1.5)
7F3Y,364,-0.88,Moderate (-1.5 to 0)
9N10,351,-3.93,Low (<-1.5)
6UKJ,372,-1.81,Low (<-1.5)
6UKJ,380,-2.04,Low (<-1.5)
9N10,114,-1.48,Moderate (-1.5 to 0)
6UKJ,352,-1.46,Moderate (-1.5 to 0)
6UKJ,208,-1.59,Low (<-1.5)
7F3Y,130,-1.23,Moderate (-1.5 to 0)
4GM2,88,-1.92,Low (<-1.5)
4GM2,449,-1.67,Low (<-1.5)
6UKJ,43,,Missing
6UKJ,382,-3.48,Low (<-1.5)
9N10,105,-1.7,Low (<-1.5)
9N10,48,-2.08,Low (<-1.5)
4GM2,295,-1.35,Moderate (-1.5 to 0)
9N10,11,,Missing
9N10,155,-3.6,Low (<-1.5)
6UKJ,160,-0.88,Moderate (-1.5 to 0)
4GM2,377,-0.78,Moderate (-1.5 to 0)
4GM2,414,-0.87,Moderate (-1.5 to 0)
9N10,60,-0.57,Moderate (-1.5 to 0)
7F3Y,449,-0.63,Moderate (-1.5 to 0)
7F3Y,290,-0.58,Moderate (-1.5 to 0)
9N10,13,-1.38,Moderate (-1.5 to 0)
6UKJ,304,-2.17,Low (<-1.5)
4GM2,218,-2.36,Low (<-1.5)
6UKJ,465,-1.41,Moderate (-1.5 to 0)
9N10,417,-3.68,Low (<-1.5)
7F3Y,166,-0.58,Moderate (-1.5 to 0)
9N10,190,,Missing
9N10,430,-2.05,Low (<-1.5)
9N10,177,-1.19,Moderate (-1.5 to 0)
4GM2,303,-1.19,Moderate (-1.5 to 0)
7F3Y,257,-1.37,Moderate (-1.5 to 0)
9N10,458,-1.15,Moderate (-1.5 to 0)
4GM2,60,-0.98,Moderate (-1.5 to 0)
7F3Y,77,-0.46,Moderate (-1.5 to 0)
4GM2,326,-1.86,Low (<-1.5)
6UKJ,266,-0.98,Moderate (-1.5 to 0)
4GM2,177,-1.88,Low (<-1.5)
6UKJ,402,,Missing
4GM2,257,-0.29,Moderate (-1.5 to 0)
9N10,456,-1.53,Low (<-1.5)
6UKJ,72,-1.2,Moderate (-1.5 to 0)
7F3Y,381,-0.96,Moderate (-1.5 to 0)
4GM2,221,,Missing
7F3Y,251,-0.92,Moderate (-1.5 to 0)
7F3Y,170,-0.46,Moderate (-1.5 to 0)
7F3Y,224,-0.73,Moderate (-1.5 to 0)
4GM2,27,-1.71,Low (<-1.5)
7F3Y,288,-0.94,Moderate (-1.5 to 0)
6UKJ,317,-1.08,Moderate (-1.5 to 0)
4GM2,408,-0.03,Moderate (-1.5 to 0)
4GM2,297,-1.94,Low (<-1.5)
9N10,268,-1.19,Moderate (-1.5 to 0)
9N10,418,-1.89,Low (<-1.5)
6UKJ,247,-1.68,Low (<-1.5)
6UKJ,71,-1.48,Moderate (-1.5 to 0)
4GM2,49,-1.39,Moderate (-1.5 to 0)
9N10,31,-3.52,Low (<-1.5)
4GM2,0,-1.62,Low (<-1.5)
4GM2,302,-1.89,Low (<-1.5)
7F3Y,441,-0.79,Moderate (-1.5 to 0)
9N10,457,-2.55,Low (<-1.5)
9N10,375,-2.96,Low (<-1.5)
4GM2,290,-2.81,Low (<-1.5)
6UKJ,339,-2.0,Low (<-1.5)
6UKJ,219,-0.91,Moderate (-1.5 to 0)
4GM2,211,-0.34,Moderate (-1.5 to 0)
7F3Y,434,-0.67,Moderate (-1.5 to 0)
4GM2,286,-0.78,Moderate (-1.5 to 0)
9N10,435,-1.53,Low (<-1.5)
9N10,426,-1.79,Low (<-1.5)
7F3Y,153,-1.13,Moderate (-1.5 to 0)
4GM2,270,-1.27,Moderate (-1.5 to 0)
7F3Y,68,-0.5,Moderate (-1.5 to 0)
7F3Y,227,-0.89,Moderate (-1.5 to 0)
7F3Y,116,-1.25,Moderate (-1.5 to 0)
4GM2,242,-1.85,Low (<-1.5)
4GM2,330,-1.2,Moderate (-1.5 to 0)
9N10,133,-2.03,Low (<-1.5)
4GM2,246,-1.57,Low (<-1.5)
6UKJ,42,-0.93,Moderate (-1.5 to 0)
7F3Y,59,-1.58,Low (<-1.5)
7F3Y,38,-1.35,Moderate (-1.5 to 0)
7F3Y,149,-0.63,Moderate (-1.5 to 0)
7F3Y,261,-0.94,Moderate (-1.5 to 0)
9N10,454,-2.98,Low (<-1.5)
4GM2,165,-1.09,Moderate (-1.5 to 0)
4GM2,77,-1.08,Moderate (-1.5 to 0)
4GM2,451,-0.47,Moderate (-1.5 to 0)
4GM2,322,-0.52,Moderate (-1.5 to 0)
6UKJ,357,-0.81,Moderate (-1.5 to 0)
4GM2,285,-1.56,Low (<-1.5)
4GM2,444,-0.84,Moderate (-1.5 to 0)
4GM2,167,-1.34,Moderate (-1.5 to 0)
6UKJ,99,-1.47,Moderate (-1.5 to 0)
9N10,250,-1.4,Moderate (-1.5 to 0)
4GM2,101,-1.81,Low (<-1.5)
