smiles,true_label,prob_mean,prob_std,ci_lower_95,ci_upper_95,predicted,correct
O=C1C[C@@H](c2ccccc2)Oc2cc(O)c(Cc3ccccc3O)c(O)c21,1,0.578,0.0368,0.5127,0.6476,1,1
CC1C(=O)O[C@@H]2C[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0,0.578,0.0368,0.5127,0.6476,1,0
CCN(CC)CCCNc1ccnc2cc(Cl)ccc12,1,0.7683,0.1005,0.5694,0.9395,1,1
CCCCCCCCCC(O)CCCCCC1CC(=O)NCCCN(C)CCCCN(C)CCCN1C,0,0.578,0.0368,0.5127,0.6476,1,0
CC(C)c1c(O)ccc2c1CC[C@@H]1C(C)(C)CCC[C@]21C,0,0.578,0.0368,0.5127,0.6476,1,0
Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,1,0.578,0.0368,0.5127,0.6476,1,1
CC[C@H](/C=C/[C@@H](C)[C@@H]1CC[C@@H]2C3C(=O)C=C4C[C@@H](O[C@H]5O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0,0.578,0.0368,0.5127,0.6476,1,0
CN1C2=CC(=O)c3ccccc3N[C@@H]2c2ccccc21,0,0.578,0.0368,0.5127,0.6476,1,0
COC(=O)C(=C(C(=O)OC)c1cc(O)cc(C=CC(C)CCC=C(C)C)c1O)c1cc(O)cc(C=CC(C)=CCC=C(C)C)c1O,1,0.578,0.0368,0.5127,0.6476,1,1
C/C=C1/CN(C)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cc4[nH]c5c(c4cc3OC)CCN3C[C@H]4C[C@H](CC)[C@H]3[C@@]5(C(=O)OC)C4)C[C@@H]1C2C(=O)OC,1,0.578,0.0368,0.5127,0.6476,1,1
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1Cc1occc1C=O,0,0.578,0.0368,0.5127,0.6476,1,0
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,0,0.7672,0.1083,0.6009,0.9474,1,0
O=C(CCc1ccccc1)c1c(O)cc2c(c1O)Cc1c(O)cccc1O2,1,0.578,0.0368,0.5127,0.6476,1,1
COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,1,0.578,0.0368,0.5127,0.6476,1,1
COc1c2occc2c(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(=O)oc12,0,0.578,0.0368,0.5127,0.6476,1,0
COc1ccc(C2COc3c(ccc4c3C=C[C@@](C)(CCC=C(C)C)O4)C2)c(O)c1O,1,0.578,0.0368,0.5127,0.6476,1,1
COc1ccc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)cc1Cl,1,0.578,0.0368,0.5127,0.6476,1,1
CC(C)=CCOc1ccc(-c2cc(=O)c3c(O)c(CC=C(C)C)c(OCC=C(C)C)cc3o2)c(OCC=C(C)C)c1,1,0.578,0.0368,0.5127,0.6476,1,1
C=C(C)c1c(O)c(O)c2c(c1O)[C@H](OC=O)C[C@H]1C(C)(C)CCC[C@]21C,1,0.578,0.0368,0.5127,0.6476,1,1
O=C(CCc1ccccc1)c1c(O)c(Cc2ccccc2O)c2c(c1O)Cc1ccccc1O2,0,0.578,0.0368,0.5127,0.6476,1,0
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,0,0.578,0.0368,0.5127,0.6476,1,0
CC(=O)O[C@@H]1C=C[C@H]2O[C@@]2(COC(=O)c2ccccc2)[C@H]1OC(C)=O,0,0.578,0.0368,0.5127,0.6476,1,0
C=C(C)c1cc2c(c(O)c1O)[C@@]1(C)CC[C@H](OC(=O)/C=C/c3ccccc3)C(C)(C)C1=CC2,1,0.578,0.0368,0.5127,0.6476,1,1
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,1,0.578,0.0368,0.5127,0.6476,1,1
COc1cc(OC)c2c(c1OC)O[C@H]1c3c(OC)cc(OC)c(OC)c3O[C@H](c3ccccc3)[C@H]1[C@@H]2/C=C/c1ccccc1,1,0.578,0.0368,0.5127,0.6476,1,1
CON=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)NOC)cc3)o2)cc1,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc2c(=O)oc3c(OC)c(O[C@@H]4O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4O[C@H]4O[C@@H](C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4OC(C)=O)cc4c(=O)oc(c1OC)c2c34,1,0.578,0.0368,0.5127,0.6476,1,1
COc1ccc2c(c1O)N1C(=O)C=C3OC[C@H]4O[C@]45CN(C)CC[C@]24C(=O)C[C@@H]5[C@]3(O)[C@H]14,1,0.578,0.0368,0.5127,0.6476,1,1
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,1,0.578,0.0368,0.5127,0.6476,1,1
CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21,0,0.578,0.0368,0.5127,0.6476,1,0
CC[C@H](CC[C@@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@H]5O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc2c(=O)oc3c(OC)c(O[C@@H]4C[C@@H](OC(=O)c5cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c5)[C@@H](OC(C)=O)[C@H](COC(C)=O)O4)cc4c(=O)oc(c1OC)c2c34,1,0.578,0.0368,0.5127,0.6476,1,1
COC(=O)C(O)C1C(C)(C)[C@H](OC(C)=O)[C@]2(O)CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CC[C@@H]3[C@@]1(C)C2=O,1,0.578,0.0368,0.5127,0.6476,1,1
Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,1,0.7143,0.104,0.5413,0.9025,1,1
CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1,1,0.7723,0.0976,0.5304,0.9243,1,1
COc1cc(OC)c(N(C)C(=O)c2cc3c(s2)-c2ccccc2S(=O)(=O)C3)cc1Cl,1,0.578,0.0368,0.5127,0.6476,1,1
COC(=O)C(OC(=O)c1ccccc1)[C@H]1C(C)(C)C(=O)C2C[C@]3(OC(=O)c4ccccc4)[C@@H]4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CC[C@@H]3[C@@]1(C)C2=O,1,0.578,0.0368,0.5127,0.6476,1,1
CNCCCNc1ccnc2cc(Cl)ccc12,1,0.7469,0.0978,0.5894,0.9187,1,1
O=Cc1c(O)c(C=O)c(O)c(C(=O)C=Cc2ccccc2)c1O,1,0.578,0.0368,0.5127,0.6476,1,1
CC1=CC(=O)c2c(O)cccc2C1=O,1,0.578,0.0368,0.5127,0.6476,1,1
C=CC[C@@]12COC(=O)C(=C)[C@@H]1C[C@H](C(C)C(=O)O)[C@@H](OC(=O)C(=C)CO)C2,0,0.578,0.0368,0.5127,0.6476,1,0
Cc1ccc(-c2cc3c(SCC(=O)Nc4cc(C(F)(F)F)ccc4Cl)nccn3n2)cc1,1,0.578,0.0368,0.5127,0.6476,1,1
C=CCc1cc2c(c(OC)c1OC)OCO2,0,0.7277,0.1037,0.5048,0.8865,1,0
CN1CC[C@]23C(=O)C[C@H]4C(=CCOC5=CC(=O)N(c6ccccc62)[C@H]3[C@]54O)C1,0,0.578,0.0368,0.5127,0.6476,1,0
C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1[C@@H]3O,0,0.578,0.0368,0.5127,0.6476,1,0
CC=Cc1cc(O)c(O)c(OC)c1,1,0.6795,0.0971,0.5308,0.8565,1,1
C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,0,0.578,0.0368,0.5127,0.6476,1,0
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,1,0.6692,0.1151,0.484,0.8947,1,1
COc1cccc2c(=O)c3ccc(O)cc3oc12,1,0.8162,0.104,0.5413,0.9489,1,1
Cc1occ2c(O)c3c(c(O)c12)C(=O)C=CC3=O,1,0.578,0.0368,0.5127,0.6476,1,1
CCC1(C)CC(CCNCc2ccccc2O)(c2ccc(C)cc2)CCO1,1,0.578,0.0368,0.5127,0.6476,1,1
C/C(=C/CO)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O,0,0.578,0.0368,0.5127,0.6476,1,0
O=C(NCC(c1ccsc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,0,0.578,0.0368,0.5127,0.6476,1,0
O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,0,0.578,0.0368,0.5127,0.6476,1,0
O=C1C[C@@H](c2ccccc2)Oc2c(Cc3cc(O)ccc3Cc3ccccc3O)c(O)c(Cc3ccccc3O)c(O)c21,1,0.578,0.0368,0.5127,0.6476,1,1
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC=C3C=C(C(C)(C)O)C(=O)C(=O)C32)C1(C)C,1,0.578,0.0368,0.5127,0.6476,1,1
CC1CCN(Cc2ccc(NC(=O)c3cc4ccc5ccc[nH]c5c4n3)cc2)CC1,1,0.578,0.0368,0.5127,0.6476,1,1
CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CO)[C@]3(C=O)CC[C@@H]12,0,0.578,0.0368,0.5127,0.6476,1,0
O=C1C[C@@H](c2ccccc2)Oc2c(Cc3ccccc3O)c(O)c(Cc3ccccc3O)c(O)c21,1,0.578,0.0368,0.5127,0.6476,1,1
COc1cc([C@@H]2Oc3c(OC)cc4ccc(=O)oc4c3O[C@H]2CO)ccc1O,1,0.578,0.0368,0.5127,0.6476,1,1
CC1(C)C(=O)C=C[C@]2(C)OO[C@@](C)(/C=C\C(=O)O)C[C@H]12,0,0.578,0.0368,0.5127,0.6476,1,0
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC=C(C=O)C=O,0,0.578,0.0368,0.5127,0.6476,1,0
CC(C)c1c(O)c(O)cc2c1CCC1C(C)(C)CCC[C@]21C,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc(C(=O)O)c(O)c2ccc3c(c12)C=CC(C)(C)O3,1,0.578,0.0368,0.5127,0.6476,1,1
C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@]24OO3,1,0.578,0.0368,0.5127,0.6476,1,1
CC(C)=CCC=C(C)C=Cc1cc(O)cc(-c2cc3cc(O)cc(C=CC(C)CCC=C(C)C)c3o2)c1O,1,0.578,0.0368,0.5127,0.6476,1,1
CC[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,1,0.578,0.0368,0.5127,0.6476,1,1
O[C@@H]1[C@@H](O)[C@H](O)C[C@@H](O)[C@H]1O,0,0.578,0.0368,0.5127,0.6476,1,0
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,1,0.6945,0.1186,0.4554,0.8942,1,1
COc1c(Cc2ccccc2O)c(O)c(Cc2ccccc2O)c(O)c1C(=O)CCc1ccccc1,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc2ccc(=O)oc2cc1OC,1,0.7007,0.0964,0.5383,0.86,1,1
COC(=O)C[C@@]1(C/C=C(\C)CCC=C(C)C)C[C@H](O)C=CC1=O,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,0,0.7519,0.1192,0.4401,0.9141,1,0
COC(=O)C(O)C1[C@@]2(C)C3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C[C@@]45O[C@H]4[C@@H](O)[C@]1(C)C[C@]2(O)[C@H]4[C@@]35O,1,0.578,0.0368,0.5127,0.6476,1,1
COc1ccc2ccc3ccc(O)c4c(=O)oc1c2c34,1,0.578,0.0368,0.5127,0.6476,1,1
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,0,0.6814,0.1113,0.4542,0.8699,1,0
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,0,0.578,0.0368,0.5127,0.6476,1,0
C[C@H]1C[C@@H](N2C(=O)C[C@@](C)(c3cccc(NC(=O)c4cccc(C#N)c4)c3Cl)N=C2N)CCO1,0,0.578,0.0368,0.5127,0.6476,1,0
CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c(O)c(CN(CC)CC)ccc12,1,0.578,0.0368,0.5127,0.6476,1,1
C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,1,0.578,0.0368,0.5127,0.6476,1,1
CCCc1c(CC)c(=N)c2ccccc2n1C,1,0.7132,0.0914,0.5433,0.8844,1,1
